NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,7444,13.5,54487,AL,2016,01,001
Baldwin County,24005,11.7,56460,AL,2016,01,003
Barbour County,6787,29.9,32884,AL,2016,01,005
Bibb County,4099,20.1,43079,AL,2016,01,007
Blount County,8033,14.1,47213,AL,2016,01,009
Bullock County,2841,32.6,34278,AL,2016,01,011
Butler County,4880,24.8,35409,AL,2016,01,013
Calhoun County,19057,17.1,41778,AL,2016,01,015
Chambers County,6656,19.9,39530,AL,2016,01,017
Cherokee County,4273,16.8,41456,AL,2016,01,019
Chilton County,7960,18.3,44188,AL,2016,01,021
Choctaw County,2910,22.7,32691,AL,2016,01,023
Clarke County,6977,29.0,34061,AL,2016,01,025
Clay County,2495,18.9,38512,AL,2016,01,027
Cleburne County,2527,17.2,43483,AL,2016,01,029
Coffee County,7271,14.4,48632,AL,2016,01,031
Colbert County,8982,16.7,46572,AL,2016,01,033
Conecuh County,3464,28.1,29758,AL,2016,01,035
Coosa County,1801,17.5,36441,AL,2016,01,037
Covington County,7228,19.6,35010,AL,2016,01,039
Crenshaw County,2822,20.5,37374,AL,2016,01,041
Cullman County,12133,14.9,41543,AL,2016,01,043
Dale County,9936,20.6,40523,AL,2016,01,045
Dallas County,13987,35.4,30488,AL,2016,01,047
DeKalb County,14362,20.5,37128,AL,2016,01,049
Elmore County,10316,13.5,54553,AL,2016,01,051
Escambia County,8020,23.3,35096,AL,2016,01,053
Etowah County,17624,17.5,40972,AL,2016,01,055
Fayette County,3307,20.3,38403,AL,2016,01,057
Franklin County,6272,20.1,37049,AL,2016,01,059
Geneva County,5495,20.9,36976,AL,2016,01,061
Greene County,2845,34.0,26559,AL,2016,01,063
Hale County,3495,23.7,35381,AL,2016,01,065
Henry County,3159,18.7,41426,AL,2016,01,067
Houston County,19878,19.4,42910,AL,2016,01,069
Jackson County,9007,17.5,41407,AL,2016,01,071
Jefferson County,98463,15.3,50109,AL,2016,01,073
