NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,6966,12.7,56580,AL,2015,01,001
Baldwin County,25941,12.9,52387,AL,2015,01,003
Barbour County,7380,32.0,31433,AL,2015,01,005
Bibb County,4516,22.2,40767,AL,2015,01,007
Blount County,8399,14.7,50487,AL,2015,01,009
Bullock County,3544,39.6,28251,AL,2015,01,011
Butler County,5100,25.8,33868,AL,2015,01,013
Calhoun County,22579,20.0,42091,AL,2015,01,015
Chambers County,7532,22.4,35560,AL,2015,01,017
Cherokee County,4961,19.4,39144,AL,2015,01,019
Chilton County,8787,20.2,42767,AL,2015,01,021
Choctaw County,3177,24.4,35089,AL,2015,01,023
Clarke County,5403,22.2,37317,AL,2015,01,025
Clay County,2436,18.4,38908,AL,2015,01,027
Cleburne County,2797,18.9,42136,AL,2015,01,029
Coffee County,8196,16.2,46858,AL,2015,01,031
Colbert County,9732,18.1,41171,AL,2015,01,033
Conecuh County,3560,28.3,29981,AL,2015,01,035
Coosa County,2118,20.3,36078,AL,2015,01,037
Covington County,8319,22.3,36355,AL,2015,01,039
Crenshaw County,2742,19.9,36759,AL,2015,01,041
Cullman County,15694,19.4,39290,AL,2015,01,043
Dale County,8980,18.5,45294,AL,2015,01,045
Dallas County,14021,34.6,29682,AL,2015,01,047
DeKalb County,14481,20.6,37305,AL,2015,01,049
Elmore County,10609,14.0,53548,AL,2015,01,051
Escambia County,8394,24.4,36840,AL,2015,01,053
Etowah County,19146,19.0,42145,AL,2015,01,055
Fayette County,3364,20.4,37085,AL,2015,01,057
Franklin County,6609,21.1,38535,AL,2015,01,059
Geneva County,5932,22.4,36289,AL,2015,01,061
Greene County,3175,37.7,25398,AL,2015,01,063
Hale County,4224,28.5,35470,AL,2015,01,065
Henry County,2894,17.0,42501,AL,2015,01,067
Houston County,18829,18.3,43568,AL,2015,01,069
Jackson County,9516,18.4,40201,AL,2015,01,071
Jefferson County,115897,18.0,48415,AL,2015,01,073
Lamar County,3378,24.7,36520,AL,2015,01,075
Lauderdale County,15642,17.3,43008,AL,2015,01,077
Lawrence County,6130,18.7,41771,AL,2015,01,079
Lee County,31900,21.0,46442,AL,2015,01,081
Limestone County,12644,14.3,55060,AL,2015,01,083
Lowndes County,3640,35.2,31117,AL,2015,01,085
Macon County,5588,32.2,29522,AL,2015,01,087
Madison County,45877,13.3,59117,AL,2015,01,089
Marengo County,4596,23.3,35389,AL,2015,01,091
Marion County,5789,19.8,34977,AL,2015,01,093
Marshall County,18767,20.1,40599,AL,2015,01,095
Mobile County,75204,18.4,42530,AL,2015,01,097
Monroe County,6116,28.6,35163,AL,2015,01,099
Montgomery County,49457,22.8,42666,AL,2015,01,101
Morgan County,19250,16.4,47234,AL,2015,01,103
Perry County,3536,40.0,26218,AL,2015,01,105
Pickens County,4531,24.3,33160,AL,2015,01,107
Pike County,8066,25.9,34442,AL,2015,01,109
Randolph County,4154,18.7,37333,AL,2015,01,111
Russell County,13575,23.0,36124,AL,2015,01,113
St. Clair County,10494,12.4,53558,AL,2015,01,115
Shelby County,17558,8.5,70879,AL,2015,01,117
Sumter County,4073,33.2,25931,AL,2015,01,119
Talladega County,17439,22.4,37911,AL,2015,01,121
Tallapoosa County,8717,21.7,39051,AL,2015,01,123
Tuscaloosa County,38704,20.0,47868,AL,2015,01,125
Walker County,13271,20.6,37305,AL,2015,01,127
Washington County,3728,22.4,42658,AL,2015,01,129
Wilcox County,3629,33.2,23014,AL,2015,01,131
Winston County,4451,18.9,36497,AL,2015,01,133
Aleutians East Borough,582,17.4,57015,AK,2015,02,013
Aleutians West Census Area,469,8.5,80695,AK,2015,02,016
Anchorage Borough,25305,8.7,77791,AK,2015,02,020
Bethel Census Area,4271,24.2,44849,AK,2015,02,050
Bristol Bay Borough,79,9.0,66373,AK,2015,02,060
Denali Borough,124,6.6,73000,AK,2015,02,068
Dillingham Census Area,993,20.0,50753,AK,2015,02,070
Fairbanks North Star Borough,7671,8.1,70881,AK,2015,02,090
Haines Borough,275,10.9,57876,AK,2015,02,100
Hoonah-Angoon Census Area,346,16.2,53726,AK,2015,02,105
Juneau Borough,2542,8.0,82892,AK,2015,02,110
Kenai Peninsula Borough,6488,11.4,62025,AK,2015,02,122
Ketchikan Gateway Borough,1384,10.3,65314,AK,2015,02,130
Kodiak Island Borough,1021,7.5,67515,AK,2015,02,150
Kusilvak Census Area,2576,31.8,33511,AK,2015,02,158
Lake and Peninsula Borough,301,19.3,42120,AK,2015,02,164
Matanuska-Susitna Borough,9676,9.8,76601,AK,2015,02,170
Nome Census Area,2070,21.4,52952,AK,2015,02,180
North Slope Borough,1212,12.6,70834,AK,2015,02,185
