NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,6152,12.5,46491,AL,2006,01,001
Baldwin County,18269,11.0,45493,AL,2006,01,003
Barbour County,7247,28.7,28692,AL,2006,01,005
Bibb County,3791,18.8,36794,AL,2006,01,007
Blount County,7118,12.8,41494,AL,2006,01,009
Bullock County,3074,32.9,23095,AL,2006,01,011
Butler County,4602,22.8,29158,AL,2006,01,013
Calhoun County,19388,17.6,36684,AL,2006,01,015
Chambers County,6314,18.3,32014,AL,2006,01,017
Cherokee County,4431,18.1,37097,AL,2006,01,019
Chilton County,7871,19.0,36717,AL,2006,01,021
Choctaw County,3410,23.5,28730,AL,2006,01,023
Clarke County,6862,25.6,29659,AL,2006,01,025
Clay County,2110,15.6,32512,AL,2006,01,027
Cleburne County,2313,15.9,35119,AL,2006,01,029
Coffee County,6424,14.2,41417,AL,2006,01,031
Colbert County,7775,14.4,36690,AL,2006,01,033
Conecuh County,3498,26.3,25992,AL,2006,01,035
Coosa County,1826,16.7,32424,AL,2006,01,037
Covington County,6205,16.9,30293,AL,2006,01,039
Crenshaw County,2707,20.0,30576,AL,2006,01,041
Cullman County,12402,15.7,35774,AL,2006,01,043
Dale County,7891,16.9,36969,AL,2006,01,045
Dallas County,12234,28.2,26135,AL,2006,01,047
DeKalb County,11478,17.1,31613,AL,2006,01,049
Elmore County,9043,13.0,50006,AL,2006,01,051
Escambia County,7979,22.4,32844,AL,2006,01,053
Etowah County,16973,16.7,32448,AL,2006,01,055
Fayette County,2942,16.7,34465,AL,2006,01,057
Franklin County,5156,17.0,30911,AL,2006,01,059
Geneva County,4978,19.5,30230,AL,2006,01,061
Greene County,3075,33.2,23404,AL,2006,01,063
Hale County,4238,24.9,29268,AL,2006,01,065
Henry County,2941,17.8,35398,AL,2006,01,067
Houston County,15347,16.3,37415,AL,2006,01,069
Jackson County,8210,15.5,37545,AL,2006,01,071
Jefferson County,91811,14.3,41731,AL,2006,01,073
Lamar County,2639,18.4,31891,AL,2006,01,075
Lauderdale County,14682,17.1,37801,AL,2006,01,077
Lawrence County,4967,14.6,37501,AL,2006,01,079
Lee County,22579,18.7,37568,AL,2006,01,081
Limestone County,9755,14.0,44253,AL,2006,01,083
Lowndes County,3560,28.0,26390,AL,2006,01,085
Macon County,6072,30.2,24467,AL,2006,01,087
Madison County,33384,11.2,51434,AL,2006,01,089
Marengo County,5656,26.2,30515,AL,2006,01,091
Marion County,4990,17.1,32792,AL,2006,01,093
Marshall County,15021,17.5,37142,AL,2006,01,095
Mobile County,75490,19.1,38188,AL,2006,01,097
Monroe County,5077,22.0,32163,AL,2006,01,099
Montgomery County,39350,18.6,40922,AL,2006,01,101
Morgan County,18120,16.0,40681,AL,2006,01,103
Perry County,3414,32.3,22637,AL,2006,01,105
Pickens County,4572,23.0,29737,AL,2006,01,107
Pike County,8044,28.1,29269,AL,2006,01,109
Randolph County,3841,17.5,32984,AL,2006,01,111
Russell County,11778,23.9,30627,AL,2006,01,113
St. Clair County,7631,10.4,45549,AL,2006,01,115
Shelby County,12648,7.2,66476,AL,2006,01,117
Sumter County,4102,30.8,23130,AL,2006,01,119
Talladega County,14151,18.4,35524,AL,2006,01,121
Tallapoosa County,7503,18.9,32939,AL,2006,01,123
Tuscaloosa County,32113,19.7,37952,AL,2006,01,125
Walker County,11742,17.0,35123,AL,2006,01,127
Washington County,3528,20.1,33896,AL,2006,01,129
Wilcox County,4516,35.5,19949,AL,2006,01,131
Winston County,4548,18.7,31869,AL,2006,01,133
Aleutians East Borough,402,15.2,46164,AK,2006,02,013
Aleutians West Census Area,495,9.6,64142,AK,2006,02,016
Anchorage Borough,25302,9.4,63392,AK,2006,02,020
Bethel Census Area,3555,21.2,41156,AK,2006,02,050
Bristol Bay Borough,88,8.5,61445,AK,2006,02,060
Denali Borough,114,6.3,60832,AK,2006,02,068
Dillingham Census Area,1040,21.1,47179,AK,2006,02,070
Fairbanks North Star Borough,7553,9.1,57914,AK,2006,02,090
Haines Borough,299,13.3,43893,AK,2006,02,100
Juneau Borough,2111,7.0,67791,AK,2006,02,110
Kenai Peninsula Borough,5623,11.0,54281,AK,2006,02,122
Ketchikan Gateway Borough,1257,9.6,58720,AK,2006,02,130
Kodiak Island Borough,1129,8.7,59814,AK,2006,02,150
Lake and Peninsula Borough,324,21.1,37632,AK,2006,02,164
Matanuska-Susitna Borough,8696,11.0,59733,AK,2006,02,170
Nome Census Area,2096,23.1,44737,AK,2006,02,180
North Slope Borough,892,13.7,65081,AK,2006,02,185
Northwest Arctic Borough,1653,22.2,48642,AK,2006,02,188
Prince of Wales-Outer Ketchikan Census Area,871,15.4,42667,AK,2006,02,201
Sitka Borough,712,8.2,54050,AK,2006,02,220
Skagway-Hoonah-Angoon Census Area,422,13.7,45027,AK,2006,02,232
Southeast Fairbanks Census Area,955,14.3,50477,AK,2006,02,240
Valdez-Cordova Census Area,989,10.1,56508,AK,2006,02,261
Wade Hampton Census Area,2452,32.5,29608,AK,2006,02,270
