NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,5034,11.8,36803,AL,1997,01,001
Baldwin County,14907,11.1,35438,AL,1997,01,003
Barbour County,6119,23.8,25925,AL,1997,01,005
Bibb County,3306,17.4,28039,AL,1997,01,007
Blount County,6203,13.3,32676,AL,1997,01,009
Bullock County,3051,29.2,20401,AL,1997,01,011
Butler County,5106,23.4,22813,AL,1997,01,013
Calhoun County,18593,16.2,30432,AL,1997,01,015
Chambers County,6192,16.8,28093,AL,1997,01,017
Cherokee County,3506,15.8,28922,AL,1997,01,019
Chilton County,6062,16.3,30539,AL,1997,01,021
Choctaw County,3568,22.3,24714,AL,1997,01,023
Clarke County,6256,21.8,26898,AL,1997,01,025
Clay County,2061,14.8,26809,AL,1997,01,027
Cleburne County,2123,14.7,29104,AL,1997,01,029
Coffee County,6332,14.9,31316,AL,1997,01,031
Colbert County,7217,13.5,31413,AL,1997,01,033
Conecuh County,3833,27.4,22643,AL,1997,01,035
Coosa County,1847,16.1,26531,AL,1997,01,037
Covington County,7356,19.5,25691,AL,1997,01,039
Crenshaw County,2837,20.7,23472,AL,1997,01,041
Cullman County,9809,13.0,30705,AL,1997,01,043
Dale County,8357,17.3,30476,AL,1997,01,045
Dallas County,13902,29.7,23379,AL,1997,01,047
DeKalb County,9096,15.5,27948,AL,1997,01,049
Elmore County,7688,13.1,35305,AL,1997,01,051
Escambia County,7401,20.8,25712,AL,1997,01,053
Etowah County,17664,16.9,28747,AL,1997,01,055
Fayette County,2851,15.6,28717,AL,1997,01,057
Franklin County,4965,16.6,26592,AL,1997,01,059
Geneva County,4699,18.7,26009,AL,1997,01,061
Greene County,3521,35.5,17602,AL,1997,01,063
Hale County,4448,26.6,20704,AL,1997,01,065
Henry County,2882,18.1,28276,AL,1997,01,067
Houston County,14134,16.4,32086,AL,1997,01,069
Jackson County,7632,14.7,30791,AL,1997,01,071
Jefferson County,95276,14.5,35464,AL,1997,01,073
Lamar County,2902,18.0,26867,AL,1997,01,075
Lauderdale County,11222,13.3,33204,AL,1997,01,077
Lawrence County,5326,15.7,31609,AL,1997,01,079
Lee County,14671,15.0,31821,AL,1997,01,081
Limestone County,8231,13.5,35981,AL,1997,01,083
Lowndes County,4152,31.5,20285,AL,1997,01,085
Macon County,6792,31.9,21469,AL,1997,01,087
Madison County,30571,11.0,43239,AL,1997,01,089
Marengo County,5630,23.9,25504,AL,1997,01,091
Marion County,4896,16.0,26919,AL,1997,01,093
Marshall County,12108,15.0,29610,AL,1997,01,095
Mobile County,80068,20.1,29943,AL,1997,01,097
Monroe County,5239,21.6,28061,AL,1997,01,099
Montgomery County,37506,17.6,34569,AL,1997,01,101
Morgan County,12460,11.4,36984,AL,1997,01,103
Perry County,4509,36.6,18069,AL,1997,01,105
Pickens County,4962,23.5,24567,AL,1997,01,107
Pike County,6778,24.6,23915,AL,1997,01,109
Randolph County,3747,18.6,25882,AL,1997,01,111
Russell County,9444,18.6,28141,AL,1997,01,113
St. Clair County,8476,13.9,33812,AL,1997,01,115
Shelby County,9616,6.8,52450,AL,1997,01,117
Sumter County,5090,33.1,19199,AL,1997,01,119
Talladega County,14776,19.4,27147,AL,1997,01,121
Tallapoosa County,6817,16.9,27804,AL,1997,01,123
Tuscaloosa County,26524,17.0,31029,AL,1997,01,125
Walker County,10270,14.4,28254,AL,1997,01,127
Washington County,3395,19.0,28549,AL,1997,01,129
Wilcox County,4858,36.1,17822,AL,1997,01,131
Winston County,4074,16.8,25418,AL,1997,01,133
Aleutians East Borough,322,14.2,42714,AK,1997,02,013
Aleutians West Census Area,269,6.7,44745,AK,1997,02,016
Anchorage Borough,23244,9.1,54245,AK,1997,02,020
Bethel Census Area,5290,33.1,29628,AK,1997,02,050
Bristol Bay Borough,92,8.4,56570,AK,1997,02,060
Denali Borough,107,6.1,44065,AK,1997,02,068
Dillingham Census Area,1284,28.1,35094,AK,1997,02,070
Fairbanks North Star Borough,7507,9.1,46944,AK,1997,02,090
Haines Borough,263,11.5,37631,AK,1997,02,100
Juneau Borough,1952,6.5,57809,AK,1997,02,110
Kenai Peninsula Borough,5481,11.4,47189,AK,1997,02,122
Ketchikan Gateway Borough,1160,8.2,53502,AK,1997,02,130
Kodiak Island Borough,1323,9.2,46673,AK,1997,02,150
Lake and Peninsula Borough,479,27.4,27016,AK,1997,02,164
Matanuska-Susitna Borough,6478,11.6,50273,AK,1997,02,170
Nome Census Area,2170,24.2,36633,AK,1997,02,180
North Slope Borough,406,5.8,56915,AK,1997,02,185
Northwest Arctic Borough,1434,21.0,39119,AK,1997,02,188
Prince of Wales-Outer Ketchikan Census Area,983,14.1,42226,AK,1997,02,201
Sitka Borough,686,8.5,50166,AK,1997,02,220
Skagway-Hoonah-Angoon Census Area,312,8.4,38830,AK,1997,02,232
Southeast Fairbanks Census Area,1092,18.4,36982,AK,1997,02,240
Valdez-Cordova Census Area,1005,9.8,50526,AK,1997,02,261
Wade Hampton Census Area,2762,39.4,23796,AK,1997,02,270
Wrangell-Petersburg Census Area,703,10.2,44826,AK,1997,02,280
Yakutat Borough,64,7.9,41252,AK,1997,02,282
Yukon-Koyukuk Census Area,1542,24.2,30532,AK,1997,02,290
Apache County,27436,39.7,20260,AZ,1997,04,001
Cochise County,23611,21.7,29295,AZ,1997,04,003
Coconino County,21855,20.0,33747,AZ,1997,04,005
Gila County,9885,20.2,27960,AZ,1997,04,007
Graham County,6885,22.8,27564,AZ,1997,04,009
Greenlee County,972,10.3,43696,AZ,1997,04,011
La Paz County,3633,24.3,23534,AZ,1997,04,012
Maricopa County,355924,12.7,40134,AZ,1997,04,013
Mohave County,23184,17.6,28250,AZ,1997,04,015
Navajo County,27546,28.4,25913,AZ,1997,04,017
Pima County,127496,16.2,32544,AZ,1997,04,019
Pinal County,28695,20.0,28003,AZ,1997,04,021
Santa Cruz County,9961,25.8,26515,AZ,1997,04,023
Yavapai County,20549,13.8,30230,AZ,1997,04,025
Yuma County,33080,25.3,27227,AZ,1997,04,027
Arkansas County,3906,18.9,28742,AR,1997,05,001
Ashley County,4892,20.0,30040,AR,1997,05,003
Baxter County,5356,14.6,26352,AR,1997,05,005
Benton County,13601,10.1,36004,AR,1997,05,007
Boone County,5296,16.6,28336,AR,1997,05,009
Bradley County,2424,21.4,24482,AR,1997,05,011
Calhoun County,943,16.5,27092,AR,1997,05,013
Carroll County,3896,17.2,26411,AR,1997,05,015
Chicot County,4956,33.8,19604,AR,1997,05,017
Clark County,3794,18.9,26783,AR,1997,05,019
Clay County,3087,18.0,24735,AR,1997,05,021
Cleburne County,3644,15.8,27223,AR,1997,05,023
Cleveland County,1429,16.8,29956,AR,1997,05,025
Columbia County,5367,21.9,26826,AR,1997,05,027
Conway County,3396,17.1,28503,AR,1997,05,029
Craighead County,12626,16.6,31515,AR,1997,05,031
Crawford County,8183,16.1,30400,AR,1997,05,033
Crittenden County,12521,24.9,27549,AR,1997,05,035
Cross County,4356,22.4,26344,AR,1997,05,037
Dallas County,1879,20.9,24786,AR,1997,05,039
Desha County,4151,27.5,23361,AR,1997,05,041
Drew County,3419,19.9,27738,AR,1997,05,043
Faulkner County,8304,10.9,35722,AR,1997,05,045
Franklin County,2917,17.3,27300,AR,1997,05,047
Fulton County,2763,25.2,20848,AR,1997,05,049
Garland County,13632,16.3,28140,AR,1997,05,051
Grant County,1843,11.5,35486,AR,1997,05,053
Greene County,5373,14.9,29904,AR,1997,05,055
Hempstead County,4717,21.4,24690,AR,1997,05,057
Hot Spring County,4909,16.9,27757,AR,1997,05,059
Howard County,2515,18.6,27782,AR,1997,05,061
Independence County,5484,16.7,28864,AR,1997,05,063
Izard County,2841,22.4,22868,AR,1997,05,065
Jackson County,4187,23.6,23942,AR,1997,05,067
Jefferson County,19564,24.9,27363,AR,1997,05,069
Johnson County,4022,19.0,25612,AR,1997,05,071
Lafayette County,2539,28.2,21324,AR,1997,05,073
Lawrence County,3775,22.1,23133,AR,1997,05,075
Lee County,4456,38.0,19194,AR,1997,05,077
Lincoln County,3165,27.9,26071,AR,1997,05,079
Little River County,2408,18.2,28739,AR,1997,05,081
Logan County,3831,18.4,26233,AR,1997,05,083
Lonoke County,6194,12.3,35825,AR,1997,05,085
Madison County,2526,18.9,26499,AR,1997,05,087
Marion County,2909,19.4,23450,AR,1997,05,089
Miller County,8439,21.3,28034,AR,1997,05,091
Mississippi County,11955,23.5,26528,AR,1997,05,093
Monroe County,3110,30.6,20702,AR,1997,05,095
Montgomery County,1858,21.3,23928,AR,1997,05,097
Nevada County,1962,19.7,25561,AR,1997,05,099
Newton County,2081,25.2,21621,AR,1997,05,101
Ouachita County,5880,21.1,27593,AR,1997,05,103
Perry County,1490,15.3,26507,AR,1997,05,105
Phillips County,10273,37.5,18898,AR,1997,05,107
Pike County,1916,18.1,26974,AR,1997,05,109
Poinsett County,5594,22.6,25052,AR,1997,05,111
Polk County,4179,21.1,23934,AR,1997,05,113
Pope County,8037,15.7,31290,AR,1997,05,115
Prairie County,1731,18.4,26039,AR,1997,05,117
Pulaski County,50110,14.3,34727,AR,1997,05,119
Randolph County,3660,20.5,24454,AR,1997,05,121
St. Francis County,8642,30.5,22001,AR,1997,05,123
Saline County,7429,9.6,39001,AR,1997,05,125
Scott County,2387,22.4,24049,AR,1997,05,127
Searcy County,2130,27.4,19091,AR,1997,05,129
Sebastian County,15292,14.4,32360,AR,1997,05,131
Sevier County,2757,18.9,26121,AR,1997,05,133
Sharp County,3614,21.2,22433,AR,1997,05,135
Stone County,2603,23.2,21846,AR,1997,05,137
Union County,8475,18.7,29359,AR,1997,05,139
Van Buren County,3150,20.1,23828,AR,1997,05,141
Washington County,19298,13.5,32188,AR,1997,05,143
White County,10842,17.4,28513,AR,1997,05,145
Woodruff County,2733,30.9,20623,AR,1997,05,147
Yell County,3229,16.8,25751,AR,1997,05,149
Alameda County,164225,11.8,46795,CA,1997,06,001
Alpine County,210,17.5,31080,CA,1997,06,003
Amador County,3380,11.4,37829,CA,1997,06,005
Butte County,40224,20.9,29367,CA,1997,06,007
Calaveras County,5163,13.0,34672,CA,1997,06,009
Colusa County,3380,18.1,30464,CA,1997,06,011
Contra Costa County,80691,8.7,54275,CA,1997,06,013
Del Norte County,5523,22.9,29044,CA,1997,06,015
El Dorado County,14074,8.8,44954,CA,1997,06,017
Fresno County,191614,25.6,31587,CA,1997,06,019
Glenn County,5200,19.9,28649,CA,1997,06,021
Humboldt County,22332,18.5,30426,CA,1997,06,023
Imperial County,41065,30.3,23359,CA,1997,06,025
Inyo County,2514,14.0,32871,CA,1997,06,027
Kern County,128669,21.0,32359,CA,1997,06,029
Kings County,24724,23.6,30577,CA,1997,06,031
Lake County,11092,20.1,27295,CA,1997,06,033
Lassen County,4813,19.4,36819,CA,1997,06,035
Los Angeles County,1886639,20.5,36441,CA,1997,06,037
Madera County,24741,22.8,30804,CA,1997,06,039
Marin County,16099,7.0,60967,CA,1997,06,041
Mariposa County,2425,15.3,31178,CA,1997,06,043
Mendocino County,15071,18.1,32306,CA,1997,06,045
Merced County,50275,25.4,29178,CA,1997,06,047
Modoc County,1919,21.1,28174,CA,1997,06,049
Mono County,1167,11.2,36276,CA,1997,06,051
Monterey County,54559,15.4,38341,CA,1997,06,053
Napa County,10283,8.8,44667,CA,1997,06,055
Nevada County,8761,9.6,40347,CA,1997,06,057
Orange County,299636,11.0,49583,CA,1997,06,059
Placer County,17812,7.7,49638,CA,1997,06,061
Plumas County,2687,13.1,35154,CA,1997,06,063
Riverside County,221430,15.0,36368,CA,1997,06,065
Sacramento County,200479,17.2,39461,CA,1997,06,067
San Benito County,5634,11.4,42578,CA,1997,06,069
San Bernardino County,291422,17.9,36876,CA,1997,06,071
San Diego County,386232,14.2,39427,CA,1997,06,073
San Francisco County,94142,12.6,43405,CA,1997,06,075
San Joaquin County,101876,18.8,35629,CA,1997,06,077
San Luis Obispo County,28888,12.9,38597,CA,1997,06,079
San Mateo County,46164,6.6,57267,CA,1997,06,081
Santa Barbara County,55429,14.6,40232,CA,1997,06,083
Santa Clara County,146523,9.0,59639,CA,1997,06,085
Santa Cruz County,31272,13.1,44607,CA,1997,06,087
Shasta County,29709,18.1,32109,CA,1997,06,089
Sierra County,392,11.6,34941,CA,1997,06,091
Siskiyou County,8337,19.0,28178,CA,1997,06,093
Solano County,41722,11.3,46115,CA,1997,06,095
Sonoma County,39585,9.1,43770,CA,1997,06,097
Stanislaus County,78638,18.4,35913,CA,1997,06,099
Sutter County,13275,17.2,33775,CA,1997,06,101
Tehama County,10774,20.0,28030,CA,1997,06,103
Trinity County,2525,19.4,27042,CA,1997,06,105
Tulare County,98816,27.9,27622,CA,1997,06,107
Tuolumne County,7246,14.8,33810,CA,1997,06,109
Ventura County,75183,10.3,49763,CA,1997,06,111
Yolo County,23632,15.8,38751,CA,1997,06,113
Yuba County,15181,25.5,26842,CA,1997,06,115
Adams County,33794,10.4,40802,CO,1997,08,001
Alamosa County,3207,23.0,28204,CO,1997,08,003
Arapahoe County,30749,6.4,50748,CO,1997,08,005
Archuleta County,1273,13.7,30518,CO,1997,08,007
Baca County,824,19.1,26731,CO,1997,08,009
Bent County,1209,24.5,26427,CO,1997,08,011
Boulder County,20591,7.8,50245,CO,1997,08,013
Chaffee County,1854,13.1,30881,CO,1997,08,015
Cheyenne County,250,10.8,34746,CO,1997,08,017
Clear Creek County,470,5.2,56537,CO,1997,08,019
Conejos County,2315,28.6,20708,CO,1997,08,021
Costilla County,1241,33.5,18700,CO,1997,08,023
Crowley County,1070,32.2,23524,CO,1997,08,025
Custer County,505,14.5,29797,CO,1997,08,027
Delta County,4261,16.2,27418,CO,1997,08,029
Denver County,81561,16.4,35616,CO,1997,08,031
Dolores County,259,14.0,25826,CO,1997,08,033
Douglas County,2785,1.9,77513,CO,1997,08,035
Eagle County,1454,4.3,50000,CO,1997,08,037
Elbert County,1050,5.6,52636,CO,1997,08,039
El Paso County,45856,9.5,42023,CO,1997,08,041
Fremont County,6343,17.2,29939,CO,1997,08,043
