NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,7204,13.1,54366,AL,2014,01,001
Baldwin County,25696,13.0,49626,AL,2014,01,003
Barbour County,5943,25.4,34971,AL,2014,01,005
Bibb County,3666,18.1,39546,AL,2014,01,007
Blount County,10000,17.5,45567,AL,2014,01,009
Bullock County,3179,35.1,26580,AL,2014,01,011
Butler County,4988,25.0,32512,AL,2014,01,013
Calhoun County,23114,20.5,41123,AL,2014,01,015
Chambers County,7170,21.3,34116,AL,2014,01,017
Cherokee County,4768,18.6,38013,AL,2014,01,019
Chilton County,7874,18.1,41450,AL,2014,01,021
Choctaw County,3293,25.0,35049,AL,2014,01,023
Clarke County,6137,24.9,36620,AL,2014,01,025
Clay County,2592,19.5,35940,AL,2014,01,027
Cleburne County,2527,17.0,40418,AL,2014,01,029
Coffee County,8407,16.8,46931,AL,2014,01,031
Colbert County,9022,16.7,43057,AL,2014,01,033
Conecuh County,3846,30.6,29101,AL,2014,01,035
Coosa County,1976,18.8,34679,AL,2014,01,037
Covington County,7778,20.8,36149,AL,2014,01,039
Crenshaw County,2929,21.2,34445,AL,2014,01,041
Cullman County,13809,17.2,39922,AL,2014,01,043
Dale County,10865,22.4,41940,AL,2014,01,045
Dallas County,14470,35.2,26602,AL,2014,01,047
DeKalb County,16856,24.0,36241,AL,2014,01,049
Elmore County,10867,14.4,54298,AL,2014,01,051
Escambia County,8639,25.1,37077,AL,2014,01,053
Etowah County,19291,19.0,39904,AL,2014,01,055
Fayette County,3425,20.6,35664,AL,2014,01,057
Franklin County,7222,23.1,33881,AL,2014,01,059
Geneva County,6303,23.9,34425,AL,2014,01,061
Greene County,2819,33.2,26504,AL,2014,01,063
Hale County,4182,28.1,33315,AL,2014,01,065
Henry County,2925,17.3,39930,AL,2014,01,067
Houston County,20643,20.1,40124,AL,2014,01,069
Jackson County,11440,22.0,36923,AL,2014,01,071
Jefferson County,125778,19.5,44852,AL,2014,01,073
Lamar County,2856,20.6,34553,AL,2014,01,075
Lauderdale County,17041,18.7,41324,AL,2014,01,077
Lawrence County,5499,16.6,41574,AL,2014,01,079
Lee County,37752,25.2,41256,AL,2014,01,081
Limestone County,11912,13.6,51175,AL,2014,01,083
Lowndes County,3285,31.4,30675,AL,2014,01,085
Macon County,5649,32.1,28518,AL,2014,01,087
Madison County,48750,14.2,58833,AL,2014,01,089
Marengo County,5071,25.6,32977,AL,2014,01,091
Marion County,5925,20.2,37707,AL,2014,01,093
Marshall County,20528,22.0,36536,AL,2014,01,095
Mobile County,80016,19.6,42943,AL,2014,01,097
Monroe County,5484,25.3,34733,AL,2014,01,099
Montgomery County,48844,22.5,43054,AL,2014,01,101
Morgan County,17665,15.0,45082,AL,2014,01,103
Perry County,4246,46.9,27403,AL,2014,01,105
Pickens County,4667,25.0,31933,AL,2014,01,107
Pike County,8237,26.4,31844,AL,2014,01,109
Randolph County,4512,20.4,36939,AL,2014,01,111
Russell County,12309,20.9,35585,AL,2014,01,113
St. Clair County,12071,14.3,50571,AL,2014,01,115
Shelby County,19610,9.6,69432,AL,2014,01,117
Sumter County,4692,38.1,25413,AL,2014,01,119
Talladega County,17499,22.5,39999,AL,2014,01,121
Tallapoosa County,8633,21.3,36779,AL,2014,01,123
Tuscaloosa County,34553,18.0,46892,AL,2014,01,125
Walker County,15161,23.5,37245,AL,2014,01,127
Washington County,3077,18.5,41321,AL,2014,01,129
Wilcox County,3697,33.7,24035,AL,2014,01,131
Winston County,4796,20.1,35528,AL,2014,01,133
Aleutians East Borough,544,16.2,55462,AK,2014,02,013
Aleutians West Census Area,549,9.9,68387,AK,2014,02,016
Anchorage Borough,29207,10.0,75200,AK,2014,02,020
Bethel Census Area,4166,23.8,45808,AK,2014,02,050
Bristol Bay Borough,89,9.5,75364,AK,2014,02,060
Denali Borough,133,7.1,69692,AK,2014,02,068
Dillingham Census Area,867,17.5,51082,AK,2014,02,070
Fairbanks North Star Borough,9011,9.5,67801,AK,2014,02,090
Haines Borough,252,9.8,67260,AK,2014,02,100
Hoonah-Angoon Census Area,397,19.1,51687,AK,2014,02,105
Juneau Borough,2500,7.9,80835,AK,2014,02,110
Kenai Peninsula Borough,6472,11.5,62532,AK,2014,02,122
Ketchikan Gateway Borough,1685,12.4,57776,AK,2014,02,130
Kodiak Island Borough,1146,8.3,67972,AK,2014,02,150
Lake and Peninsula Borough,288,17.7,45570,AK,2014,02,164
Matanuska-Susitna Borough,10243,10.7,73981,AK,2014,02,170
Nome Census Area,2509,26.1,47160,AK,2014,02,180
North Slope Borough,1112,11.5,75682,AK,2014,02,185
Northwest Arctic Borough,1771,23.2,65192,AK,2014,02,188
Petersburg Borough,276,8.8,56655,AK,2014,02,195
Prince of Wales-Hyder Census Area,1105,17.4,43245,AK,2014,02,198
Sitka Borough,750,8.6,65765,AK,2014,02,220
Skagway Municipality,37,3.6,69170,AK,2014,02,230
Southeast Fairbanks Census Area,949,13.8,59641,AK,2014,02,240
Valdez-Cordova Census Area,931,9.9,73998,AK,2014,02,261
Wade Hampton Census Area,2845,35.7,30877,AK,2014,02,270
Wrangell City and Borough,280,11.9,52201,AK,2014,02,275
Yakutat Borough,94,14.8,52595,AK,2014,02,282
Yukon-Koyukuk Census Area,1416,25.7,36708,AK,2014,02,290
Apache County,23458,33.1,32366,AZ,2014,04,001
Cochise County,22879,18.7,45025,AZ,2014,04,003
Coconino County,27154,21.3,48653,AZ,2014,04,005
