NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,5627,11.6,45379,AL,2004,01,001
Baldwin County,16089,10.0,42227,AL,2004,01,003
Barbour County,6109,23.9,26495,AL,2004,01,005
Bibb County,3476,17.1,34055,AL,2004,01,007
Blount County,6844,12.4,38643,AL,2004,01,009
Bullock County,2887,30.3,20485,AL,2004,01,011
Butler County,4310,21.0,27244,AL,2004,01,013
Calhoun County,18663,16.9,34813,AL,2004,01,015
Chambers County,6030,17.2,30573,AL,2004,01,017
Cherokee County,3914,16.1,33564,AL,2004,01,019
Chilton County,6137,14.8,35507,AL,2004,01,021
Choctaw County,2968,20.2,27690,AL,2004,01,023
Clarke County,5633,20.9,28776,AL,2004,01,025
Clay County,1913,13.9,31194,AL,2004,01,027
Cleburne County,2116,14.7,34128,AL,2004,01,029
Coffee County,6374,14.2,37066,AL,2004,01,031
Colbert County,7963,14.7,34575,AL,2004,01,033
Conecuh County,3044,23.1,24334,AL,2004,01,035
Coosa County,1553,14.0,30173,AL,2004,01,037
Covington County,6834,18.7,29237,AL,2004,01,039
Crenshaw County,2527,18.6,28909,AL,2004,01,041
Cullman County,10883,13.8,35150,AL,2004,01,043
Dale County,7884,16.7,34065,AL,2004,01,045
Dallas County,12053,27.4,24949,AL,2004,01,047
DeKalb County,10523,15.8,32286,AL,2004,01,049
Elmore County,8516,12.5,43645,AL,2004,01,051
Escambia County,7243,20.1,29330,AL,2004,01,053
Etowah County,16432,16.1,32727,AL,2004,01,055
Fayette County,3133,17.4,30595,AL,2004,01,057
Franklin County,5427,17.8,29234,AL,2004,01,059
Geneva County,4631,18.1,28787,AL,2004,01,061
Greene County,2544,26.5,22439,AL,2004,01,063
Hale County,3770,22.0,26841,AL,2004,01,065
Henry County,2825,17.1,32441,AL,2004,01,067
Houston County,14749,15.8,36616,AL,2004,01,069
Jackson County,8161,15.3,33733,AL,2004,01,071
Jefferson County,99413,15.4,38520,AL,2004,01,073
Lamar County,2492,16.8,29337,AL,2004,01,075
Lauderdale County,13988,16.2,35166,AL,2004,01,077
Lawrence County,5067,14.7,34998,AL,2004,01,079
Lee County,19031,16.0,34660,AL,2004,01,081
Limestone County,8657,12.7,41830,AL,2004,01,083
Lowndes County,3332,25.5,24967,AL,2004,01,085
Macon County,5786,28.3,23378,AL,2004,01,087
Madison County,34058,11.7,49441,AL,2004,01,089
Marengo County,4637,21.3,29138,AL,2004,01,091
Marion County,5237,17.9,28781,AL,2004,01,093
Marshall County,13378,15.8,34855,AL,2004,01,095
Mobile County,79110,20.0,33191,AL,2004,01,097
Monroe County,4366,18.5,30228,AL,2004,01,099
Montgomery County,40905,19.4,35680,AL,2004,01,101
Morgan County,15741,14.0,40978,AL,2004,01,103
Perry County,3285,30.4,21640,AL,2004,01,105
Pickens County,4161,20.8,27737,AL,2004,01,107
Pike County,6155,21.4,28077,AL,2004,01,109
Randolph County,3575,16.1,30973,AL,2004,01,111
Russell County,9455,19.4,29680,AL,2004,01,113
St. Clair County,9264,13.1,41086,AL,2004,01,115
Shelby County,11854,7.0,61972,AL,2004,01,117
Sumter County,3858,28.3,21189,AL,2004,01,119
Talladega County,13778,17.8,34418,AL,2004,01,121
Tallapoosa County,6763,17.1,31464,AL,2004,01,123
Tuscaloosa County,27862,17.2,36598,AL,2004,01,125
Walker County,11206,16.2,32634,AL,2004,01,127
Washington County,3214,18.1,32147,AL,2004,01,129
Wilcox County,3904,30.4,19682,AL,2004,01,131
Winston County,4168,17.2,28764,AL,2004,01,133
Aleutians East Borough,346,12.7,39828,AK,2004,02,013
Aleutians West Census Area,392,7.4,50670,AK,2004,02,016
