NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,4926,10.4,44241,AL,2003,01,001
Baldwin County,15753,10.1,41961,AL,2003,01,003
Barbour County,5717,22.2,26062,AL,2003,01,005
Bibb County,3383,16.8,32924,AL,2003,01,007
Blount County,6503,11.9,37758,AL,2003,01,009
Bullock County,2569,26.5,20903,AL,2003,01,011
Butler County,4118,20.0,26951,AL,2003,01,013
Calhoun County,18095,16.4,33137,AL,2003,01,015
Chambers County,5725,16.3,30844,AL,2003,01,017
Cherokee County,3699,15.3,32158,AL,2003,01,019
Chilton County,6159,14.9,34201,AL,2003,01,021
Choctaw County,2848,18.8,26829,AL,2003,01,023
Clarke County,5224,19.2,28644,AL,2003,01,025
Clay County,1947,14.0,29456,AL,2003,01,027
Cleburne County,2008,14.0,32834,AL,2003,01,029
Coffee County,6091,13.7,35739,AL,2003,01,031
Colbert County,7628,14.0,33550,AL,2003,01,033
Conecuh County,2966,22.1,23726,AL,2003,01,035
Coosa County,1523,13.5,29801,AL,2003,01,037
Covington County,6406,17.5,28670,AL,2003,01,039
Crenshaw County,2372,17.6,28358,AL,2003,01,041
Cullman County,10445,13.3,34056,AL,2003,01,043
Dale County,7499,15.7,32774,AL,2003,01,045
Dallas County,11221,25.2,24456,AL,2003,01,047
DeKalb County,10055,15.1,31310,AL,2003,01,049
Elmore County,8233,12.4,42687,AL,2003,01,051
Escambia County,6790,18.7,28608,AL,2003,01,053
Etowah County,16034,15.7,31512,AL,2003,01,055
Fayette County,2893,16.1,30216,AL,2003,01,057
Franklin County,5312,17.4,28277,AL,2003,01,059
Geneva County,4482,17.6,28040,AL,2003,01,061
Greene County,2429,25.1,21963,AL,2003,01,063
Hale County,3557,20.8,26138,AL,2003,01,065
Henry County,2700,16.3,31504,AL,2003,01,067
Houston County,14098,15.3,35866,AL,2003,01,069
Jackson County,7713,14.4,33128,AL,2003,01,071
Jefferson County,93624,14.5,38305,AL,2003,01,073
Lamar County,2386,16.1,28913,AL,2003,01,075
Lauderdale County,13455,15.6,34422,AL,2003,01,077
Lawrence County,4928,14.4,34195,AL,2003,01,079
Lee County,17707,15.2,33550,AL,2003,01,081
Limestone County,7927,11.9,40901,AL,2003,01,083
Lowndes County,3109,23.5,24090,AL,2003,01,085
Macon County,5421,26.0,22594,AL,2003,01,087
Madison County,31157,10.9,48719,AL,2003,01,089
Marengo County,4442,20.2,28815,AL,2003,01,091
Marion County,4939,16.8,27227,AL,2003,01,093
Marshall County,12811,15.2,33756,AL,2003,01,095
Mobile County,73097,18.5,32850,AL,2003,01,097
Monroe County,4196,17.8,29027,AL,2003,01,099
Montgomery County,38173,18.0,35592,AL,2003,01,101
Morgan County,14792,13.2,39965,AL,2003,01,103
Perry County,3149,28.7,20630,AL,2003,01,105
Pickens County,3940,19.5,26895,AL,2003,01,107
Pike County,5830,20.4,26615,AL,2003,01,109
Randolph County,3458,15.7,29435,AL,2003,01,111
Russell County,9058,18.6,28547,AL,2003,01,113
St. Clair County,8994,13.1,38713,AL,2003,01,115
Shelby County,11262,6.8,60894,AL,2003,01,117
Sumter County,3711,26.6,20627,AL,2003,01,119
Talladega County,12994,16.8,33191,AL,2003,01,121
Tallapoosa County,6403,16.1,30626,AL,2003,01,123
Tuscaloosa County,26368,16.5,35268,AL,2003,01,125
Walker County,10263,14.8,31298,AL,2003,01,127
Washington County,3027,16.9,31198,AL,2003,01,129
Wilcox County,3612,28.1,19633,AL,2003,01,131
Winston County,4097,16.9,27430,AL,2003,01,133
Aleutians East Borough,321,11.9,39239,AK,2003,02,013
Aleutians West Census Area,385,7.2,50367,AK,2003,02,016
Anchorage Borough,23108,8.7,55197,AK,2003,02,020
Bethel Census Area,3442,20.7,35326,AK,2003,02,050
Bristol Bay Borough,89,8.1,55876,AK,2003,02,060
Denali Borough,124,6.7,52230,AK,2003,02,068
Dillingham Census Area,880,18.0,40477,AK,2003,02,070
Fairbanks North Star Borough,6438,7.7,52492,AK,2003,02,090
Haines Borough,256,11.5,39003,AK,2003,02,100
Juneau Borough,2230,7.3,60024,AK,2003,02,110
Kenai Peninsula Borough,5001,9.9,48697,AK,2003,02,122
Ketchikan Gateway Borough,1057,8.1,50154,AK,2003,02,130
Kodiak Island Borough,1134,8.6,51809,AK,2003,02,150
Lake and Peninsula Borough,262,16.6,32617,AK,2003,02,164
Matanuska-Susitna Borough,7481,10.5,54725,AK,2003,02,170
Nome Census Area,1578,17.2,38925,AK,2003,02,180
North Slope Borough,795,11.4,57822,AK,2003,02,185
Northwest Arctic Borough,1270,16.9,42230,AK,2003,02,188
Prince of Wales-Outer Ketchikan Census Area,798,13.8,35393,AK,2003,02,201
Sitka Borough,666,7.7,51207,AK,2003,02,220
Skagway-Hoonah-Angoon Census Area,363,11.6,41072,AK,2003,02,232
Southeast Fairbanks Census Area,941,15.9,40894,AK,2003,02,240
Valdez-Cordova Census Area,900,9.1,50408,AK,2003,02,261
Wade Hampton Census Area,1866,24.9,27650,AK,2003,02,270
Wrangell-Petersburg Census Area,561,8.9,45724,AK,2003,02,280
Yakutat Borough,73,10.5,40404,AK,2003,02,282
Yukon-Koyukuk Census Area,1106,17.5,29952,AK,2003,02,290
Apache County,18702,27.6,25558,AZ,2003,04,001
Cochise County,19349,16.3,34801,AZ,2003,04,003
Coconino County,18655,15.6,39034,AZ,2003,04,005
