NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,8152,14.9,48863,AL,2011,01,001
Baldwin County,24728,13.4,50144,AL,2011,01,003
Barbour County,7051,29.5,30117,AL,2011,01,005
Bibb County,4562,22.2,37347,AL,2011,01,007
Blount County,8505,14.9,41940,AL,2011,01,009
Bullock County,2909,32.8,26038,AL,2011,01,011
Butler County,4902,24.1,30489,AL,2011,01,013
Calhoun County,23974,20.9,39060,AL,2011,01,015
Chambers County,7923,23.7,33500,AL,2011,01,017
Cherokee County,6127,23.8,34738,AL,2011,01,019
Chilton County,7940,18.3,38833,AL,2011,01,021
Choctaw County,3677,27.3,32940,AL,2011,01,023
Clarke County,6686,26.3,32642,AL,2011,01,025
Clay County,2545,18.7,32454,AL,2011,01,027
Cleburne County,2509,17.2,39153,AL,2011,01,029
Coffee County,8447,16.9,42173,AL,2011,01,031
Colbert County,10098,18.7,37269,AL,2011,01,033
Conecuh County,3635,27.9,26914,AL,2011,01,035
Coosa County,2700,25.5,34391,AL,2011,01,037
Covington County,9074,24.2,32138,AL,2011,01,039
Crenshaw County,2500,18.2,34534,AL,2011,01,041
Cullman County,14455,18.2,39395,AL,2011,01,043
Dale County,9198,18.8,41568,AL,2011,01,045
Dallas County,15303,35.7,25859,AL,2011,01,047
DeKalb County,14331,20.3,35487,AL,2011,01,049
Elmore County,10299,13.8,54866,AL,2011,01,051
Escambia County,8893,25.5,32838,AL,2011,01,053
Etowah County,21426,21.0,34927,AL,2011,01,055
Fayette County,3815,22.5,32648,AL,2011,01,057
Franklin County,6292,19.9,33705,AL,2011,01,059
Geneva County,6475,24.4,33835,AL,2011,01,061
Greene County,3115,35.1,24738,AL,2011,01,063
Hale County,4306,28.5,31044,AL,2011,01,065
Henry County,3207,18.7,39788,AL,2011,01,067
Houston County,17697,17.5,40428,AL,2011,01,069
Jackson County,9423,17.9,36746,AL,2011,01,071
Jefferson County,120760,18.7,42053,AL,2011,01,073
Lamar County,3109,22.1,34731,AL,2011,01,075
Lauderdale County,14889,16.4,40195,AL,2011,01,077
Lawrence County,6073,18.0,38132,AL,2011,01,079
Lee County,29809,21.4,42539,AL,2011,01,081
Limestone County,11439,13.9,46760,AL,2011,01,083
Lowndes County,2995,27.1,28043,AL,2011,01,085
Macon County,5997,30.9,27591,AL,2011,01,087
Madison County,45732,13.8,55298,AL,2011,01,089
Marengo County,5018,24.6,31995,AL,2011,01,091
Marion County,7615,25.6,30926,AL,2011,01,093
Marshall County,17719,19.1,38876,AL,2011,01,095
Mobile County,80070,19.7,41867,AL,2011,01,097
Monroe County,6462,28.7,31072,AL,2011,01,099
Montgomery County,51765,23.2,42962,AL,2011,01,101
Morgan County,19790,16.8,43615,AL,2011,01,103
Perry County,3177,33.0,22175,AL,2011,01,105
Pickens County,5039,26.5,31079,AL,2011,01,107
Pike County,7936,25.6,32345,AL,2011,01,109
Randolph County,4939,22.1,34517,AL,2011,01,111
Russell County,10867,20.1,32632,AL,2011,01,113
St. Clair County,14249,17.3,48040,AL,2011,01,115
Shelby County,15743,8.1,66362,AL,2011,01,117
Sumter County,4997,39.1,23531,AL,2011,01,119
Talladega County,20569,26.2,33856,AL,2011,01,121
Tallapoosa County,7725,18.8,37686,AL,2011,01,123
Tuscaloosa County,37718,20.2,42086,AL,2011,01,125
Walker County,14511,22.1,35423,AL,2011,01,127
Washington County,3238,18.9,39203,AL,2011,01,129
Wilcox County,4536,39.9,20990,AL,2011,01,131
Winston County,4754,19.8,31018,AL,2011,01,133
Aleutians East Borough,562,17.8,51289,AK,2011,02,013
Aleutians West Census Area,532,10.1,59362,AK,2011,02,016
Anchorage Borough,24409,8.5,71237,AK,2011,02,020
Bethel Census Area,4028,23.5,43314,AK,2011,02,050
Bristol Bay Borough,92,9.1,61905,AK,2011,02,060
Denali Borough,107,5.8,68899,AK,2011,02,068
Dillingham Census Area,1054,21.3,46427,AK,2011,02,070
Fairbanks North Star Borough,9045,9.5,64396,AK,2011,02,090
Haines Borough,286,11.2,51350,AK,2011,02,100
Hoonah-Angoon Census Area,390,18.5,40896,AK,2011,02,105
Juneau Borough,2363,7.5,74219,AK,2011,02,110
Kenai Peninsula Borough,5812,10.6,60360,AK,2011,02,122
Ketchikan Gateway Borough,1551,11.6,59092,AK,2011,02,130
Kodiak Island Borough,1319,9.6,66935,AK,2011,02,150
Lake and Peninsula Borough,272,16.4,47612,AK,2011,02,164
Matanuska-Susitna Borough,10491,11.6,68999,AK,2011,02,170
Nome Census Area,2542,26.4,44766,AK,2011,02,180
North Slope Borough,1086,11.5,73744,AK,2011,02,185
Northwest Arctic Borough,1835,23.9,54680,AK,2011,02,188
Petersburg Census Area,408,10.6,54434,AK,2011,02,195
Prince of Wales-Hyder Census Area,980,17.1,42649,AK,2011,02,198
Sitka Borough,737,8.4,61956,AK,2011,02,220
Skagway Municipality,43,4.6,61025,AK,2011,02,230
Southeast Fairbanks Census Area,988,13.9,55617,AK,2011,02,240
Valdez-Cordova Census Area,900,9.3,63887,AK,2011,02,261
Wade Hampton Census Area,2570,33.6,33206,AK,2011,02,270
Wrangell City and Borough,291,12.3,43120,AK,2011,02,275
Yakutat Borough,83,12.8,47575,AK,2011,02,282
Yukon-Koyukuk Census Area,1245,22.1,33578,AK,2011,02,290
Apache County,26096,36.5,30837,AZ,2011,04,001
Cochise County,24723,19.6,41237,AZ,2011,04,003
Coconino County,27316,21.6,45051,AZ,2011,04,005
Gila County,13374,25.7,35898,AZ,2011,04,007
Graham County,8655,26.0,40548,AZ,2011,04,009
Greenlee County,1187,13.9,51145,AZ,2011,04,011
La Paz County,4861,24.2,30679,AZ,2011,04,012
Maricopa County,665193,17.4,50785,AZ,2011,04,013
Mohave County,42986,21.7,35998,AZ,2011,04,015
Navajo County,34011,32.4,32425,AZ,2011,04,017
Pima County,197078,20.4,44102,AZ,2011,04,019
Pinal County,61863,17.4,45170,AZ,2011,04,021
Santa Cruz County,12445,26.2,35500,AZ,2011,04,023
Yavapai County,38480,18.4,41437,AZ,2011,04,025
Yuma County,43109,22.3,37894,AZ,2011,04,027
Arkansas County,3439,18.5,37922,AR,2011,05,001
Ashley County,4263,19.8,37170,AR,2011,05,003
Baxter County,6898,16.8,33312,AR,2011,05,005
Benton County,27279,12.1,52644,AR,2011,05,007
Boone County,6172,16.9,38411,AR,2011,05,009
Bradley County,2757,24.4,31118,AR,2011,05,011
