NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,5471,13.4,34842,AL,1995,01,001
Baldwin County,15494,12.4,35014,AL,1995,01,003
Barbour County,6423,24.9,24423,AL,1995,01,005
Bibb County,3313,18.1,26651,AL,1995,01,007
Blount County,6041,13.7,30584,AL,1995,01,009
Bullock County,3524,33.7,19063,AL,1995,01,011
Butler County,5540,25.4,21918,AL,1995,01,013
Calhoun County,20008,17.5,27265,AL,1995,01,015
Chambers County,6828,18.4,25571,AL,1995,01,017
Cherokee County,3420,15.8,26719,AL,1995,01,019
Chilton County,6256,17.5,28524,AL,1995,01,021
Choctaw County,3770,23.6,23193,AL,1995,01,023
Clarke County,6571,23.3,25078,AL,1995,01,025
Clay County,2004,14.7,25737,AL,1995,01,027
Cleburne County,2096,15.3,26852,AL,1995,01,029
Coffee County,6305,14.9,29569,AL,1995,01,031
Colbert County,7495,14.1,29080,AL,1995,01,033
Conecuh County,3982,28.0,21610,AL,1995,01,035
Coosa County,1830,16.1,25003,AL,1995,01,037
Covington County,7901,20.9,24201,AL,1995,01,039
Crenshaw County,3010,22.0,21926,AL,1995,01,041
Cullman County,10323,13.9,28824,AL,1995,01,043
Dale County,8393,17.3,28578,AL,1995,01,045
Dallas County,16046,33.8,21297,AL,1995,01,047
DeKalb County,9527,16.5,26955,AL,1995,01,049
Elmore County,7626,13.7,34013,AL,1995,01,051
Escambia County,8331,23.8,24341,AL,1995,01,053
Etowah County,18272,17.8,27413,AL,1995,01,055
Fayette County,3177,17.4,26629,AL,1995,01,057
Franklin County,5027,17.0,26003,AL,1995,01,059
Geneva County,4748,18.9,24586,AL,1995,01,061
Greene County,4019,40.1,16274,AL,1995,01,063
Hale County,5037,30.8,19815,AL,1995,01,065
Henry County,2828,18.4,26589,AL,1995,01,067
Houston County,14361,17.0,30673,AL,1995,01,069
Jackson County,8154,15.9,28691,AL,1995,01,071
Jefferson County,105779,16.0,32632,AL,1995,01,073
Lamar County,2840,18.0,25876,AL,1995,01,075
Lauderdale County,11308,13.5,31663,AL,1995,01,077
Lawrence County,5546,16.6,29765,AL,1995,01,079
Lee County,16457,17.8,29288,AL,1995,01,081
Limestone County,8131,13.8,33974,AL,1995,01,083
Lowndes County,4564,35.0,18283,AL,1995,01,085
Macon County,7529,34.4,19783,AL,1995,01,087
Madison County,31183,11.6,41855,AL,1995,01,089
Marengo County,6437,27.3,23722,AL,1995,01,091
Marion County,5108,16.7,25960,AL,1995,01,093
Marshall County,11833,14.8,28481,AL,1995,01,095
Mobile County,91977,23.2,27872,AL,1995,01,097
Monroe County,5114,21.2,27061,AL,1995,01,099
Montgomery County,41808,19.6,31503,AL,1995,01,101
Morgan County,13057,12.1,35829,AL,1995,01,103
Perry County,5077,41.3,17324,AL,1995,01,105
Pickens County,5424,25.7,23568,AL,1995,01,107
Pike County,7000,25.5,23020,AL,1995,01,109
Randolph County,3978,19.6,24057,AL,1995,01,111
Russell County,10089,19.4,26570,AL,1995,01,113
St. Clair County,8408,14.4,32647,AL,1995,01,115
Shelby County,9311,7.1,51443,AL,1995,01,117
Sumter County,5647,35.9,17876,AL,1995,01,119
Talladega County,15577,20.7,25777,AL,1995,01,121
Tallapoosa County,6985,17.4,26791,AL,1995,01,123
Tuscaloosa County,28186,18.4,28990,AL,1995,01,125
Walker County,11372,16.1,26504,AL,1995,01,127
Washington County,3734,21.2,26173,AL,1995,01,129
Wilcox County,5442,40.0,17255,AL,1995,01,131
Winston County,4047,16.9,24947,AL,1995,01,133
Aleutians East Borough,242,10.3,46173,AK,1995,02,013
Aleutians West Census Area,286,6.6,40039,AK,1995,02,016
Anchorage Borough,21754,8.7,54858,AK,1995,02,020
Bethel Census Area,4746,30.4,37782,AK,1995,02,050
Bristol Bay Borough,42,4.0,60865,AK,1995,02,060
Denali Borough,104,5.7,50180,AK,1995,02,068
Dillingham Census Area,797,17.6,42294,AK,1995,02,070
Fairbanks North Star Borough,6486,8.0,48572,AK,1995,02,090
Haines Borough,271,12.8,38411,AK,1995,02,100
Juneau Borough,1607,5.4,59944,AK,1995,02,110
Kenai Peninsula Borough,4755,10.1,50854,AK,1995,02,122
Ketchikan Gateway Borough,877,6.1,57149,AK,1995,02,130
Kodiak Island Borough,1134,7.7,50296,AK,1995,02,150
Lake and Peninsula Borough,347,19.8,37666,AK,1995,02,164
Matanuska-Susitna Borough,5301,10.1,57384,AK,1995,02,170
Nome Census Area,2008,22.8,41109,AK,1995,02,180
North Slope Borough,308,4.3,67511,AK,1995,02,185
Northwest Arctic Borough,1344,20.4,46172,AK,1995,02,188
Prince of Wales-Outer Ketchikan Census Area,815,11.2,48409,AK,1995,02,201
Sitka Borough,552,6.7,53339,AK,1995,02,220
Skagway-Hoonah-Angoon Census Area,353,9.0,41700,AK,1995,02,232
Southeast Fairbanks Census Area,904,16.0,42236,AK,1995,02,240
Valdez-Cordova Census Area,853,8.3,54811,AK,1995,02,261
Wade Hampton Census Area,2641,38.9,33967,AK,1995,02,270
Wrangell-Petersburg Census Area,578,8.2,49421,AK,1995,02,280
Yakutat Borough,49,5.8,52663,AK,1995,02,282
Yukon-Koyukuk Census Area,1578,25.9,33779,AK,1995,02,290
Apache County,27275,39.4,20173,AZ,1995,04,001
Cochise County,22229,20.7,26958,AZ,1995,04,003
Coconino County,21821,20.3,32640,AZ,1995,04,005
Gila County,9218,19.4,27374,AZ,1995,04,007
Graham County,6862,23.6,25848,AZ,1995,04,009
Greenlee County,966,10.2,40620,AZ,1995,04,011
La Paz County,3626,24.4,20878,AZ,1995,04,012
Maricopa County,362298,13.8,37583,AZ,1995,04,013
Mohave County,20845,16.4,29208,AZ,1995,04,015
Navajo County,26729,29.0,25499,AZ,1995,04,017
Pima County,129300,16.9,30832,AZ,1995,04,019
Pinal County,29544,21.7,26082,AZ,1995,04,021
Santa Cruz County,9935,26.7,24933,AZ,1995,04,023
Yavapai County,19115,13.6,29205,AZ,1995,04,025
Yuma County,32896,26.5,27119,AZ,1995,04,027
Arkansas County,4169,19.8,26269,AR,1995,05,001
Ashley County,5174,21.0,28318,AR,1995,05,003
Baxter County,5358,14.7,25058,AR,1995,05,005
Benton County,11857,9.3,34807,AR,1995,05,007
Boone County,4836,15.1,27146,AR,1995,05,009
Bradley County,2597,22.5,22344,AR,1995,05,011
Calhoun County,1013,17.7,24093,AR,1995,05,013
Carroll County,3442,15.2,26360,AR,1995,05,015
Chicot County,5667,37.8,18815,AR,1995,05,017
Clark County,4175,20.6,25411,AR,1995,05,019
Clay County,3374,19.1,22342,AR,1995,05,021
Cleburne County,3777,16.8,25214,AR,1995,05,023
Cleveland County,1443,17.2,27239,AR,1995,05,025
Columbia County,5845,23.6,24672,AR,1995,05,027
Conway County,3541,17.9,26611,AR,1995,05,029
Craighead County,12591,16.8,29104,AR,1995,05,031
Crawford County,8111,16.4,28426,AR,1995,05,033
Crittenden County,13450,26.9,24982,AR,1995,05,035
Cross County,4850,25.0,24631,AR,1995,05,037
Dallas County,2051,22.2,22696,AR,1995,05,039
Desha County,4781,30.9,21057,AR,1995,05,041
Drew County,3549,20.3,25894,AR,1995,05,043
Faulkner County,7894,10.9,34160,AR,1995,05,045
Franklin County,2852,17.4,25196,AR,1995,05,047
Fulton County,2897,26.8,20163,AR,1995,05,049
Garland County,14229,17.3,26592,AR,1995,05,051
Grant County,1926,12.4,32112,AR,1995,05,053
Greene County,5463,15.5,28194,AR,1995,05,055
Hempstead County,4982,22.6,23070,AR,1995,05,057
Hot Spring County,4928,17.3,26014,AR,1995,05,059
Howard County,2414,17.4,26897,AR,1995,05,061
Independence County,5499,16.7,27041,AR,1995,05,063
Izard County,2772,22.2,21573,AR,1995,05,065
Jackson County,4462,24.3,22340,AR,1995,05,067
Jefferson County,21243,26.5,25273,AR,1995,05,069
Johnson County,3939,19.1,25132,AR,1995,05,071
Lafayette County,2931,31.5,18426,AR,1995,05,073
Lawrence County,4124,23.8,20903,AR,1995,05,075
Lee County,5025,41.8,17512,AR,1995,05,077
Lincoln County,3296,29.1,23693,AR,1995,05,079
Little River County,2536,18.9,26376,AR,1995,05,081
Logan County,4036,19.3,24591,AR,1995,05,083
Lonoke County,5902,12.3,34694,AR,1995,05,085
Madison County,2392,18.1,23986,AR,1995,05,087
Marion County,2840,19.6,22731,AR,1995,05,089
Miller County,8921,22.6,25664,AR,1995,05,091
Mississippi County,13196,25.9,24156,AR,1995,05,093
Monroe County,3572,34.2,18815,AR,1995,05,095
Montgomery County,1842,21.7,21870,AR,1995,05,097
Nevada County,2024,20.2,23149,AR,1995,05,099
Newton County,2064,25.7,20681,AR,1995,05,101
Ouachita County,6571,23.1,24097,AR,1995,05,103
Perry County,1538,16.5,24507,AR,1995,05,105
Phillips County,11782,42.3,17999,AR,1995,05,107
Pike County,1834,17.5,25130,AR,1995,05,109
Poinsett County,6154,24.8,23013,AR,1995,05,111
Polk County,4122,21.1,22780,AR,1995,05,113
Pope County,7683,15.3,30663,AR,1995,05,115
Prairie County,1728,18.4,24325,AR,1995,05,117
Pulaski County,53388,15.2,32524,AR,1995,05,119
Randolph County,3626,20.5,23261,AR,1995,05,121
St. Francis County,9749,34.1,20800,AR,1995,05,123
Saline County,7100,9.5,38089,AR,1995,05,125
Scott County,2387,22.1,22507,AR,1995,05,127
Searcy County,2241,28.9,17698,AR,1995,05,129
Sebastian County,15231,14.4,30233,AR,1995,05,131
Sevier County,2875,19.4,23997,AR,1995,05,133
Sharp County,3360,20.2,21863,AR,1995,05,135
Stone County,2688,24.5,20871,AR,1995,05,137
Union County,8884,19.3,27446,AR,1995,05,139
Van Buren County,3289,21.3,22737,AR,1995,05,141
Washington County,16555,12.4,32375,AR,1995,05,143
White County,10798,17.9,27009,AR,1995,05,145
Woodruff County,3022,33.0,19214,AR,1995,05,147
Yell County,3316,17.3,24702,AR,1995,05,149
Alameda County,151283,11.3,44653,CA,1995,06,001
Alpine County,206,16.4,28492,CA,1995,06,003
Amador County,2897,9.6,35647,CA,1995,06,005
Butte County,36337,19.0,28229,CA,1995,06,007
Calaveras County,4405,11.3,32696,CA,1995,06,009
Colusa County,3194,17.3,28030,CA,1995,06,011
Contra Costa County,70029,7.9,53055,CA,1995,06,013
Del Norte County,4922,19.6,28103,CA,1995,06,015
El Dorado County,12678,8.3,42658,CA,1995,06,017
Fresno County,188008,25.2,30984,CA,1995,06,019
Glenn County,4920,18.7,26293,CA,1995,06,021
Humboldt County,20737,17.0,28468,CA,1995,06,023
Imperial County,41732,31.0,22201,CA,1995,06,025
Inyo County,2350,12.8,30238,CA,1995,06,027
Kern County,124931,20.6,32183,CA,1995,06,029
Kings County,22999,22.3,28337,CA,1995,06,031
Lake County,10569,19.0,25474,CA,1995,06,033
Lassen County,3658,14.5,34032,CA,1995,06,035
Los Angeles County,2057499,22.7,33828,CA,1995,06,037
Madera County,22239,20.8,31644,CA,1995,06,039
Marin County,14669,6.4,53266,CA,1995,06,041
Mariposa County,2163,13.4,29339,CA,1995,06,043
Mendocino County,14147,16.9,30073,CA,1995,06,045
Merced County,50278,25.9,27125,CA,1995,06,047
Modoc County,1817,18.4,25124,CA,1995,06,049
