NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,4901,11.3,38260,AL,1998,01,001
Baldwin County,15089,11.0,37162,AL,1998,01,003
Barbour County,5795,22.7,27603,AL,1998,01,005
Bibb County,3313,16.9,29692,AL,1998,01,007
Blount County,6176,12.9,35623,AL,1998,01,009
Bullock County,2909,28.0,22231,AL,1998,01,011
Butler County,5068,23.4,23988,AL,1998,01,013
Calhoun County,18393,16.1,31866,AL,1998,01,015
Chambers County,6154,16.8,29260,AL,1998,01,017
Cherokee County,3562,16.1,29839,AL,1998,01,019
Chilton County,6055,16.0,31970,AL,1998,01,021
Choctaw County,3326,21.1,26723,AL,1998,01,023
Clarke County,6043,20.9,28044,AL,1998,01,025
Clay County,2031,14.5,28323,AL,1998,01,027
Cleburne County,2110,14.4,31153,AL,1998,01,029
Coffee County,6122,14.5,32925,AL,1998,01,031
Colbert County,7403,14.0,32190,AL,1998,01,033
Conecuh County,3571,25.7,24100,AL,1998,01,035
Coosa County,1817,15.8,27289,AL,1998,01,037
Covington County,7431,19.7,26598,AL,1998,01,039
Crenshaw County,2794,20.4,25353,AL,1998,01,041
Cullman County,10077,13.2,32609,AL,1998,01,043
Dale County,8147,16.9,31303,AL,1998,01,045
Dallas County,13075,28.0,24005,AL,1998,01,047
DeKalb County,9658,16.2,29364,AL,1998,01,049
Elmore County,7600,12.6,36723,AL,1998,01,051
Escambia County,7153,20.2,27350,AL,1998,01,053
Etowah County,16893,16.2,29619,AL,1998,01,055
Fayette County,3048,16.7,29473,AL,1998,01,057
Franklin County,5107,17.0,27971,AL,1998,01,059
Geneva County,4714,18.6,27049,AL,1998,01,061
Greene County,3204,32.7,19050,AL,1998,01,063
Hale County,4267,25.4,21976,AL,1998,01,065
Henry County,2747,17.3,29084,AL,1998,01,067
Houston County,14041,16.2,33234,AL,1998,01,069
Jackson County,7519,14.4,32272,AL,1998,01,071
