County,Count Estimate,Rate Estimate,Median Household Income,State,Year,State Code,County Code,Id
Autauga County,5034,11.8,36803,AL,1997,01,001,1
Baldwin County,14907,11.1,35438,AL,1997,01,003,2
Barbour County,6119,23.8,25925,AL,1997,01,005,3
Bibb County,3306,17.4,28039,AL,1997,01,007,4
Blount County,6203,13.3,32676,AL,1997,01,009,5
Bullock County,3051,29.2,20401,AL,1997,01,011,6
Butler County,5106,23.4,22813,AL,1997,01,013,7
Calhoun County,18593,16.2,30432,AL,1997,01,015,8
Chambers County,6192,16.8,28093,AL,1997,01,017,9
Cherokee County,3506,15.8,28922,AL,1997,01,019,10
Chilton County,6062,16.3,30539,AL,1997,01,021,11
Choctaw County,3568,22.3,24714,AL,1997,01,023,12
Clarke County,6256,21.8,26898,AL,1997,01,025,13
Clay County,2061,14.8,26809,AL,1997,01,027,14
Cleburne County,2123,14.7,29104,AL,1997,01,029,15
Coffee County,6332,14.9,31316,AL,1997,01,031,16
Colbert County,7217,13.5,31413,AL,1997,01,033,17
Conecuh County,3833,27.4,22643,AL,1997,01,035,18
Coosa County,1847,16.1,26531,AL,1997,01,037,19
Covington County,7356,19.5,25691,AL,1997,01,039,20
Crenshaw County,2837,20.7,23472,AL,1997,01,041,21
Cullman County,9809,13.0,30705,AL,1997,01,043,22
Dale County,8357,17.3,30476,AL,1997,01,045,23
Dallas County,13902,29.7,23379,AL,1997,01,047,24
DeKalb County,9096,15.5,27948,AL,1997,01,049,25
Elmore County,7688,13.1,35305,AL,1997,01,051,26
Escambia County,7401,20.8,25712,AL,1997,01,053,27
Etowah County,17664,16.9,28747,AL,1997,01,055,28
Fayette County,2851,15.6,28717,AL,1997,01,057,29
Franklin County,4965,16.6,26592,AL,1997,01,059,30
Geneva County,4699,18.7,26009,AL,1997,01,061,31
Greene County,3521,35.5,17602,AL,1997,01,063,32
Hale County,4448,26.6,20704,AL,1997,01,065,33
Henry County,2882,18.1,28276,AL,1997,01,067,34
Houston County,14134,16.4,32086,AL,1997,01,069,35
Jackson County,7632,14.7,30791,AL,1997,01,071,36
Jefferson County,95276,14.5,35464,AL,1997,01,073,37
Lamar County,2902,18.0,26867,AL,1997,01,075,38
Lauderdale County,11222,13.3,33204,AL,1997,01,077,39
Lawrence County,5326,15.7,31609,AL,1997,01,079,40
Lee County,14671,15.0,31821,AL,1997,01,081,41
Limestone County,8231,13.5,35981,AL,1997,01,083,42
Lowndes County,4152,31.5,20285,AL,1997,01,085,43
Macon County,6792,31.9,21469,AL,1997,01,087,44
Madison County,30571,11.0,43239,AL,1997,01,089,45
Marengo County,5630,23.9,25504,AL,1997,01,091,46
Marion County,4896,16.0,26919,AL,1997,01,093,47
Marshall County,12108,15.0,29610,AL,1997,01,095,48
Mobile County,80068,20.1,29943,AL,1997,01,097,49
Monroe County,5239,21.6,28061,AL,1997,01,099,50
Montgomery County,37506,17.6,34569,AL,1997,01,101,51
Morgan County,12460,11.4,36984,AL,1997,01,103,52
Perry County,4509,36.6,18069,AL,1997,01,105,53
Pickens County,4962,23.5,24567,AL,1997,01,107,54
Pike County,6778,24.6,23915,AL,1997,01,109,55
Randolph County,3747,18.6,25882,AL,1997,01,111,56
Russell County,9444,18.6,28141,AL,1997,01,113,57
St. Clair County,8476,13.9,33812,AL,1997,01,115,58
Shelby County,9616,6.8,52450,AL,1997,01,117,59
Sumter County,5090,33.1,19199,AL,1997,01,119,60
Talladega County,14776,19.4,27147,AL,1997,01,121,61
Tallapoosa County,6817,16.9,27804,AL,1997,01,123,62
Tuscaloosa County,26524,17.0,31029,AL,1997,01,125,63
Walker County,10270,14.4,28254,AL,1997,01,127,64
Washington County,3395,19.0,28549,AL,1997,01,129,65
Wilcox County,4858,36.1,17822,AL,1997,01,131,66
Winston County,4074,16.8,25418,AL,1997,01,133,67
Aleutians East Borough,322,14.2,42714,AK,1997,02,013,68
Aleutians West Census Area,269,6.7,44745,AK,1997,02,016,69
Anchorage Borough,23244,9.1,54245,AK,1997,02,020,70
Bethel Census Area,5290,33.1,29628,AK,1997,02,050,71
Bristol Bay Borough,92,8.4,56570,AK,1997,02,060,72
Denali Borough,107,6.1,44065,AK,1997,02,068,73
Dillingham Census Area,1284,28.1,35094,AK,1997,02,070,74
Fairbanks North Star Borough,7507,9.1,46944,AK,1997,02,090,75
Haines Borough,263,11.5,37631,AK,1997,02,100,76
Juneau Borough,1952,6.5,57809,AK,1997,02,110,77
Kenai Peninsula Borough,5481,11.4,47189,AK,1997,02,122,78
Ketchikan Gateway Borough,1160,8.2,53502,AK,1997,02,130,79
Kodiak Island Borough,1323,9.2,46673,AK,1997,02,150,80
Lake and Peninsula Borough,479,27.4,27016,AK,1997,02,164,81
Matanuska-Susitna Borough,6478,11.6,50273,AK,1997,02,170,82
Nome Census Area,2170,24.2,36633,AK,1997,02,180,83
North Slope Borough,406,5.8,56915,AK,1997,02,185,84
Northwest Arctic Borough,1434,21.0,39119,AK,1997,02,188,85
Prince of Wales-Outer Ketchikan Census Area,983,14.1,42226,AK,1997,02,201,86
Sitka Borough,686,8.5,50166,AK,1997,02,220,87
Skagway-Hoonah-Angoon Census Area,312,8.4,38830,AK,1997,02,232,88
Southeast Fairbanks Census Area,1092,18.4,36982,AK,1997,02,240,89
Valdez-Cordova Census Area,1005,9.8,50526,AK,1997,02,261,90
Wade Hampton Census Area,2762,39.4,23796,AK,1997,02,270,91
Wrangell-Petersburg Census Area,703,10.2,44826,AK,1997,02,280,92
Yakutat Borough,64,7.9,41252,AK,1997,02,282,93
Yukon-Koyukuk Census Area,1542,24.2,30532,AK,1997,02,290,94
Apache County,27436,39.7,20260,AZ,1997,04,001,95
Cochise County,23611,21.7,29295,AZ,1997,04,003,96
Coconino County,21855,20.0,33747,AZ,1997,04,005,97
Gila County,9885,20.2,27960,AZ,1997,04,007,98
Graham County,6885,22.8,27564,AZ,1997,04,009,99
Greenlee County,972,10.3,43696,AZ,1997,04,011,100
La Paz County,3633,24.3,23534,AZ,1997,04,012,101
Maricopa County,355924,12.7,40134,AZ,1997,04,013,102
Mohave County,23184,17.6,28250,AZ,1997,04,015,103
Navajo County,27546,28.4,25913,AZ,1997,04,017,104
Pima County,127496,16.2,32544,AZ,1997,04,019,105
Pinal County,28695,20.0,28003,AZ,1997,04,021,106
Santa Cruz County,9961,25.8,26515,AZ,1997,04,023,107
Yavapai County,20549,13.8,30230,AZ,1997,04,025,108
Yuma County,33080,25.3,27227,AZ,1997,04,027,109
Arkansas County,3906,18.9,28742,AR,1997,05,001,110
Ashley County,4892,20.0,30040,AR,1997,05,003,111
Baxter County,5356,14.6,26352,AR,1997,05,005,112
Benton County,13601,10.1,36004,AR,1997,05,007,113
Boone County,5296,16.6,28336,AR,1997,05,009,114
Bradley County,2424,21.4,24482,AR,1997,05,011,115
Calhoun County,943,16.5,27092,AR,1997,05,013,116
Carroll County,3896,17.2,26411,AR,1997,05,015,117
Chicot County,4956,33.8,19604,AR,1997,05,017,118
Clark County,3794,18.9,26783,AR,1997,05,019,119
Clay County,3087,18.0,24735,AR,1997,05,021,120
Cleburne County,3644,15.8,27223,AR,1997,05,023,121
Cleveland County,1429,16.8,29956,AR,1997,05,025,122
Columbia County,5367,21.9,26826,AR,1997,05,027,123
Conway County,3396,17.1,28503,AR,1997,05,029,124
Craighead County,12626,16.6,31515,AR,1997,05,031,125
Crawford County,8183,16.1,30400,AR,1997,05,033,126
Crittenden County,12521,24.9,27549,AR,1997,05,035,127
Cross County,4356,22.4,26344,AR,1997,05,037,128
Dallas County,1879,20.9,24786,AR,1997,05,039,129
Desha County,4151,27.5,23361,AR,1997,05,041,130
Drew County,3419,19.9,27738,AR,1997,05,043,131
Faulkner County,8304,10.9,35722,AR,1997,05,045,132
Franklin County,2917,17.3,27300,AR,1997,05,047,133
Fulton County,2763,25.2,20848,AR,1997,05,049,134
Garland County,13632,16.3,28140,AR,1997,05,051,135
Grant County,1843,11.5,35486,AR,1997,05,053,136
Greene County,5373,14.9,29904,AR,1997,05,055,137
Hempstead County,4717,21.4,24690,AR,1997,05,057,138
Hot Spring County,4909,16.9,27757,AR,1997,05,059,139
Howard County,2515,18.6,27782,AR,1997,05,061,140
Independence County,5484,16.7,28864,AR,1997,05,063,141
Izard County,2841,22.4,22868,AR,1997,05,065,142
Jackson County,4187,23.6,23942,AR,1997,05,067,143
Jefferson County,19564,24.9,27363,AR,1997,05,069,144
Johnson County,4022,19.0,25612,AR,1997,05,071,145
Lafayette County,2539,28.2,21324,AR,1997,05,073,146
Lawrence County,3775,22.1,23133,AR,1997,05,075,147
Lee County,4456,38.0,19194,AR,1997,05,077,148
Lincoln County,3165,27.9,26071,AR,1997,05,079,149
Little River County,2408,18.2,28739,AR,1997,05,081,150
Logan County,3831,18.4,26233,AR,1997,05,083,151
Lonoke County,6194,12.3,35825,AR,1997,05,085,152
Madison County,2526,18.9,26499,AR,1997,05,087,153
Marion County,2909,19.4,23450,AR,1997,05,089,154
Miller County,8439,21.3,28034,AR,1997,05,091,155
Mississippi County,11955,23.5,26528,AR,1997,05,093,156
Monroe County,3110,30.6,20702,AR,1997,05,095,157
Montgomery County,1858,21.3,23928,AR,1997,05,097,158
Nevada County,1962,19.7,25561,AR,1997,05,099,159
Newton County,2081,25.2,21621,AR,1997,05,101,160
Ouachita County,5880,21.1,27593,AR,1997,05,103,161
Perry County,1490,15.3,26507,AR,1997,05,105,162
Phillips County,10273,37.5,18898,AR,1997,05,107,163
Pike County,1916,18.1,26974,AR,1997,05,109,164
Poinsett County,5594,22.6,25052,AR,1997,05,111,165
Polk County,4179,21.1,23934,AR,1997,05,113,166
Pope County,8037,15.7,31290,AR,1997,05,115,167
Prairie County,1731,18.4,26039,AR,1997,05,117,168
Pulaski County,50110,14.3,34727,AR,1997,05,119,169
Randolph County,3660,20.5,24454,AR,1997,05,121,170
St. Francis County,8642,30.5,22001,AR,1997,05,123,171
Saline County,7429,9.6,39001,AR,1997,05,125,172
Scott County,2387,22.4,24049,AR,1997,05,127,173
Searcy County,2130,27.4,19091,AR,1997,05,129,174
Sebastian County,15292,14.4,32360,AR,1997,05,131,175
Sevier County,2757,18.9,26121,AR,1997,05,133,176
Sharp County,3614,21.2,22433,AR,1997,05,135,177
Stone County,2603,23.2,21846,AR,1997,05,137,178
Union County,8475,18.7,29359,AR,1997,05,139,179
Van Buren County,3150,20.1,23828,AR,1997,05,141,180
Washington County,19298,13.5,32188,AR,1997,05,143,181
White County,10842,17.4,28513,AR,1997,05,145,182
Woodruff County,2733,30.9,20623,AR,1997,05,147,183
Yell County,3229,16.8,25751,AR,1997,05,149,184
Alameda County,164225,11.8,46795,CA,1997,06,001,185
Alpine County,210,17.5,31080,CA,1997,06,003,186
Amador County,3380,11.4,37829,CA,1997,06,005,187
Butte County,40224,20.9,29367,CA,1997,06,007,188
Calaveras County,5163,13.0,34672,CA,1997,06,009,189
Colusa County,3380,18.1,30464,CA,1997,06,011,190
Contra Costa County,80691,8.7,54275,CA,1997,06,013,191
Del Norte County,5523,22.9,29044,CA,1997,06,015,192
El Dorado County,14074,8.8,44954,CA,1997,06,017,193
Fresno County,191614,25.6,31587,CA,1997,06,019,194
Glenn County,5200,19.9,28649,CA,1997,06,021,195
Humboldt County,22332,18.5,30426,CA,1997,06,023,196
Imperial County,41065,30.3,23359,CA,1997,06,025,197
Inyo County,2514,14.0,32871,CA,1997,06,027,198
Kern County,128669,21.0,32359,CA,1997,06,029,199
Kings County,24724,23.6,30577,CA,1997,06,031,200
Lake County,11092,20.1,27295,CA,1997,06,033,201
Lassen County,4813,19.4,36819,CA,1997,06,035,202
Los Angeles County,1886639,20.5,36441,CA,1997,06,037,203
Madera County,24741,22.8,30804,CA,1997,06,039,204
Marin County,16099,7.0,60967,CA,1997,06,041,205
Mariposa County,2425,15.3,31178,CA,1997,06,043,206
Mendocino County,15071,18.1,32306,CA,1997,06,045,207
Merced County,50275,25.4,29178,CA,1997,06,047,208
Modoc County,1919,21.1,28174,CA,1997,06,049,209
Mono County,1167,11.2,36276,CA,1997,06,051,210
Monterey County,54559,15.4,38341,CA,1997,06,053,211
Napa County,10283,8.8,44667,CA,1997,06,055,212
Nevada County,8761,9.6,40347,CA,1997,06,057,213
Orange County,299636,11.0,49583,CA,1997,06,059,214
Placer County,17812,7.7,49638,CA,1997,06,061,215
Plumas County,2687,13.1,35154,CA,1997,06,063,216
Riverside County,221430,15.0,36368,CA,1997,06,065,217
Sacramento County,200479,17.2,39461,CA,1997,06,067,218
San Benito County,5634,11.4,42578,CA,1997,06,069,219
San Bernardino County,291422,17.9,36876,CA,1997,06,071,220
San Diego County,386232,14.2,39427,CA,1997,06,073,221
San Francisco County,94142,12.6,43405,CA,1997,06,075,222
San Joaquin County,101876,18.8,35629,CA,1997,06,077,223
San Luis Obispo County,28888,12.9,38597,CA,1997,06,079,224
San Mateo County,46164,6.6,57267,CA,1997,06,081,225
Santa Barbara County,55429,14.6,40232,CA,1997,06,083,226
Santa Clara County,146523,9.0,59639,CA,1997,06,085,227
Santa Cruz County,31272,13.1,44607,CA,1997,06,087,228
Shasta County,29709,18.1,32109,CA,1997,06,089,229
Sierra County,392,11.6,34941,CA,1997,06,091,230
Siskiyou County,8337,19.0,28178,CA,1997,06,093,231
Solano County,41722,11.3,46115,CA,1997,06,095,232
Sonoma County,39585,9.1,43770,CA,1997,06,097,233
Stanislaus County,78638,18.4,35913,CA,1997,06,099,234
Sutter County,13275,17.2,33775,CA,1997,06,101,235
Tehama County,10774,20.0,28030,CA,1997,06,103,236
Trinity County,2525,19.4,27042,CA,1997,06,105,237
Tulare County,98816,27.9,27622,CA,1997,06,107,238
Tuolumne County,7246,14.8,33810,CA,1997,06,109,239
Ventura County,75183,10.3,49763,CA,1997,06,111,240
Yolo County,23632,15.8,38751,CA,1997,06,113,241
Yuba County,15181,25.5,26842,CA,1997,06,115,242
Adams County,33794,10.4,40802,CO,1997,08,001,243
Alamosa County,3207,23.0,28204,CO,1997,08,003,244
Arapahoe County,30749,6.4,50748,CO,1997,08,005,245
Archuleta County,1273,13.7,30518,CO,1997,08,007,246
Baca County,824,19.1,26731,CO,1997,08,009,247
Bent County,1209,24.5,26427,CO,1997,08,011,248
Boulder County,20591,7.8,50245,CO,1997,08,013,249
Chaffee County,1854,13.1,30881,CO,1997,08,015,250
Cheyenne County,250,10.8,34746,CO,1997,08,017,251
Clear Creek County,470,5.2,56537,CO,1997,08,019,252
Conejos County,2315,28.6,20708,CO,1997,08,021,253
Costilla County,1241,33.5,18700,CO,1997,08,023,254
Crowley County,1070,32.2,23524,CO,1997,08,025,255
Custer County,505,14.5,29797,CO,1997,08,027,256
Delta County,4261,16.2,27418,CO,1997,08,029,257
Denver County,81561,16.4,35616,CO,1997,08,031,258
Dolores County,259,14.0,25826,CO,1997,08,033,259
Douglas County,2785,1.9,77513,CO,1997,08,035,260
Eagle County,1454,4.3,50000,CO,1997,08,037,261
Elbert County,1050,5.6,52636,CO,1997,08,039,262
El Paso County,45856,9.5,42023,CO,1997,08,041,263
Fremont County,6343,17.2,29939,CO,1997,08,043,264
Garfield County,3508,8.9,40923,CO,1997,08,045,265
Gilpin County,221,5.2,51044,CO,1997,08,047,266
Grand County,676,6.6,38865,CO,1997,08,049,267
Gunnison County,1367,11.8,32300,CO,1997,08,051,268
Hinsdale County,81,10.8,32993,CO,1997,08,053,269
Huerfano County,1584,23.4,21389,CO,1997,08,055,270
Jackson County,206,13.3,29031,CO,1997,08,057,271
Jefferson County,27365,5.4,54175,CO,1997,08,059,272
Kiowa County,230,14.0,32455,CO,1997,08,061,273
Kit Carson County,949,12.9,32964,CO,1997,08,063,274
Lake County,610,9.5,34986,CO,1997,08,065,275
La Plata County,4533,11.5,36822,CO,1997,08,067,276
Larimer County,19507,8.5,43853,CO,1997,08,069,277
Las Animas County,3433,23.8,22682,CO,1997,08,071,278
Lincoln County,823,17.4,29117,CO,1997,08,073,279
Logan County,2366,13.4,33076,CO,1997,08,075,280
Mesa County,14674,13.0,33519,CO,1997,08,077,281
Mineral County,92,12.9,29810,CO,1997,08,079,282
Moffat County,1441,11.4,42476,CO,1997,08,081,283
Montezuma County,4007,17.8,30882,CO,1997,08,083,284
Montrose County,4088,13.2,32312,CO,1997,08,085,285
Morgan County,3583,14.4,31197,CO,1997,08,087,286
Otero County,4658,22.8,25143,CO,1997,08,089,287
Ouray County,244,7.2,38465,CO,1997,08,091,288
Park County,919,6.8,46090,CO,1997,08,093,289
Phillips County,454,10.5,32863,CO,1997,08,095,290
Pitkin County,707,5.2,52744,CO,1997,08,097,291
Prowers County,2801,20.4,28881,CO,1997,08,099,292
Pueblo County,24269,18.1,29112,CO,1997,08,101,293
Rio Blanco County,630,10.3,40921,CO,1997,08,103,294
Rio Grande County,2684,23.4,25808,CO,1997,08,105,295
Routt County,1194,6.8,42799,CO,1997,08,107,296
Saguache County,1591,26.1,22419,CO,1997,08,109,297
San Juan County,106,19.8,27635,CO,1997,08,111,298
San Miguel County,471,8.5,42160,CO,1997,08,113,299
Sedgwick County,365,14.2,28209,CO,1997,08,115,300
Summit County,863,4.5,45857,CO,1997,08,117,301
Teller County,1747,8.4,45552,CO,1997,08,119,302
Washington County,560,12.2,29870,CO,1997,08,121,303
Weld County,19746,12.5,35351,CO,1997,08,123,304
Yuma County,1131,12.0,31639,CO,1997,08,125,305
Fairfield County,67095,7.9,56872,CT,1997,09,001,306
Hartford County,86299,10.4,46011,CT,1997,09,003,307
Litchfield County,9700,5.3,50589,CT,1997,09,005,308
Middlesex County,7673,5.2,53624,CT,1997,09,007,309
New Haven County,83789,10.6,44412,CT,1997,09,009,310
New London County,19724,8.1,44566,CT,1997,09,011,311
Tolland County,6773,5.4,55223,CT,1997,09,013,312
Windham County,10188,9.8,41108,CT,1997,09,015,313
Kent County,14822,12.1,36555,DE,1997,10,001,314
New Castle County,41658,8.7,47819,DE,1997,10,003,315
Sussex County,17388,12.7,33281,DE,1997,10,005,316
District of Columbia,96253,19.3,34980,DC,1997,11,001,317
Alachua County,34670,18.3,31382,FL,1997,12,001,318
Baker County,3255,16.9,32377,FL,1997,12,003,319
Bay County,21975,15.1,32047,FL,1997,12,005,320
Bradford County,4710,22.2,30033,FL,1997,12,007,321
Brevard County,52556,11.3,36353,FL,1997,12,009,322
Broward County,176882,11.7,37832,FL,1997,12,011,323
Calhoun County,2567,23.0,25362,FL,1997,12,013,324
Charlotte County,12782,9.5,32211,FL,1997,12,015,325
Citrus County,16523,14.5,26883,FL,1997,12,017,326
Clay County,10656,7.7,42729,FL,1997,12,019,327
Collier County,22518,11.2,41000,FL,1997,12,021,328
Columbia County,10076,19.7,28521,FL,1997,12,023,329
DeSoto County,5427,23.4,25525,FL,1997,12,027,330
Dixie County,2988,23.9,21982,FL,1997,12,029,331
Duval County,98139,13.4,35883,FL,1997,12,031,332
Escambia County,48916,17.8,31069,FL,1997,12,033,333
Flagler County,5014,10.5,34675,FL,1997,12,035,334
Franklin County,1880,19.0,24088,FL,1997,12,037,335
Gadsden County,10793,25.9,24881,FL,1997,12,039,336
Gilchrist County,2348,18.4,27483,FL,1997,12,041,337
Glades County,1430,18.1,26336,FL,1997,12,043,338
Gulf County,2402,19.8,28605,FL,1997,12,045,339
Hamilton County,2932,26.2,24174,FL,1997,12,047,340
Hardee County,5495,27.8,25482,FL,1997,12,049,341
Hendry County,6599,22.8,28325,FL,1997,12,051,342
Hernando County,17512,13.8,27740,FL,1997,12,053,343
Highlands County,12305,16.4,26006,FL,1997,12,055,344
Hillsborough County,139088,15.0,35994,FL,1997,12,057,345
Holmes County,4328,24.7,23416,FL,1997,12,059,346
Indian River County,11106,11.2,35895,FL,1997,12,061,347
Jackson County,8439,20.8,25953,FL,1997,12,063,348
Jefferson County,2710,22.0,27788,FL,1997,12,065,349
Lafayette County,1251,24.1,27354,FL,1997,12,067,350
Lake County,25887,12.8,30768,FL,1997,12,069,351
Lee County,45160,11.5,34117,FL,1997,12,071,352
Leon County,28848,13.8,37832,FL,1997,12,073,353
Levy County,6249,19.8,24838,FL,1997,12,075,354
Liberty County,1194,22.3,27178,FL,1997,12,077,355
Madison County,3765,23.2,24980,FL,1997,12,079,356
Manatee County,28117,11.7,35063,FL,1997,12,081,357
Marion County,39399,16.4,28244,FL,1997,12,083,358
Martin County,11547,10.1,40161,FL,1997,12,085,359
Miami-Dade County,453238,21.1,30000,FL,1997,12,086,360
Monroe County,9314,11.5,36353,FL,1997,12,087,361
Nassau County,5408,9.7,40128,FL,1997,12,089,362
Okaloosa County,17425,10.5,36788,FL,1997,12,091,363
Okeechobee County,6079,20.0,26129,FL,1997,12,093,364
Orange County,105950,13.4,36979,FL,1997,12,095,365
Osceola County,19570,13.4,32552,FL,1997,12,097,366
Palm Beach County,118247,11.5,37045,FL,1997,12,099,367
Pasco County,43756,13.5,28202,FL,1997,12,101,368
Pinellas County,105737,12.2,32816,FL,1997,12,103,369
Polk County,74345,16.6,31030,FL,1997,12,105,370
Putnam County,15431,22.1,25318,FL,1997,12,107,371
St. Johns County,10797,9.4,42857,FL,1997,12,109,372
St. Lucie County,27105,15.1,30788,FL,1997,12,111,373
Santa Rosa County,13912,11.8,37201,FL,1997,12,113,374
Sarasota County,26344,8.7,37660,FL,1997,12,115,375
Seminole County,34512,9.8,43061,FL,1997,12,117,376
Sumter County,7922,21.4,25601,FL,1997,12,119,377
Suwannee County,5893,18.2,26070,FL,1997,12,121,378
Taylor County,3956,22.0,27354,FL,1997,12,123,379
Union County,2054,23.2,29968,FL,1997,12,125,380
Volusia County,58694,14.2,29843,FL,1997,12,127,381
Wakulla County,2559,13.7,34492,FL,1997,12,129,382
Walton County,6880,18.8,27211,FL,1997,12,131,383
Washington County,4257,22.5,25224,FL,1997,12,133,384
Appling County,3320,19.9,28620,GA,1997,13,001,385
Atkinson County,1655,22.8,24493,GA,1997,13,003,386
Bacon County,2336,22.5,25594,GA,1997,13,005,387
Baker County,908,24.6,25261,GA,1997,13,007,388
Baldwin County,6491,18.4,31153,GA,1997,13,009,389
Banks County,1874,14.4,33061,GA,1997,13,011,390
Barrow County,5056,12.4,37258,GA,1997,13,013,391
Bartow County,8320,11.5,37469,GA,1997,13,015,392
Ben Hill County,3699,21.2,26126,GA,1997,13,017,393
Berrien County,3181,19.5,27848,GA,1997,13,019,394
Bibb County,32185,20.9,32553,GA,1997,13,021,395
Bleckley County,1948,17.9,31756,GA,1997,13,023,396
Brantley County,2568,18.8,29430,GA,1997,13,025,397
Brooks County,3753,23.7,26002,GA,1997,13,027,398
Bryan County,2877,12.2,39198,GA,1997,13,029,399
Bulloch County,9896,20.7,30483,GA,1997,13,031,400
Burke County,5802,25.3,23787,GA,1997,13,033,401
Butts County,2680,16.3,32153,GA,1997,13,035,402
Calhoun County,1414,28.4,21573,GA,1997,13,037,403
Camden County,4768,11.1,37797,GA,1997,13,039,404
Candler County,2055,23.0,25017,GA,1997,13,043,405
Carroll County,11966,14.7,34061,GA,1997,13,045,406
Catoosa County,5916,11.6,35597,GA,1997,13,047,407
Charlton County,1946,20.6,27357,GA,1997,13,049,408
Chatham County,42117,19.0,33639,GA,1997,13,051,409
Chattahoochee County,1489,14.2,36899,GA,1997,13,053,410
Chattooga County,3400,14.9,27909,GA,1997,13,055,411
Cherokee County,7972,5.9,54423,GA,1997,13,057,412
Clarke County,16301,19.4,30664,GA,1997,13,059,413
Clay County,1120,32.3,20277,GA,1997,13,061,414
Clayton County,28455,13.5,38366,GA,1997,13,063,415
Clinch County,1538,23.1,25828,GA,1997,13,065,416
Cobb County,37995,6.6,52924,GA,1997,13,067,417
Coffee County,7075,20.6,28484,GA,1997,13,069,418
Colquitt County,9460,23.5,26039,GA,1997,13,071,419
Columbia County,7056,7.7,50345,GA,1997,13,073,420
Cook County,3090,20.6,26448,GA,1997,13,075,421
Coweta County,8904,10.4,44493,GA,1997,13,077,422
Crawford County,1607,15.0,33827,GA,1997,13,079,423
Crisp County,5882,28.6,23859,GA,1997,13,081,424
Dade County,2210,15.0,30079,GA,1997,13,083,425
Dawson County,1663,11.0,40128,GA,1997,13,085,426
Decatur County,6694,24.9,26377,GA,1997,13,087,427
DeKalb County,78171,13.2,42767,GA,1997,13,089,428
Dodge County,3944,22.7,25409,GA,1997,13,091,429
Dooly County,2902,27.9,22555,GA,1997,13,093,430
Dougherty County,23418,24.8,29658,GA,1997,13,095,431
Douglas County,8159,9.1,46284,GA,1997,13,097,432
Early County,3622,29.9,22525,GA,1997,13,099,433
Echols County,480,20.0,30080,GA,1997,13,101,434
Effingham County,4279,11.5,41511,GA,1997,13,103,435
Elbert County,3688,19.1,27555,GA,1997,13,105,436
Emanuel County,5535,26.4,22876,GA,1997,13,107,437
Evans County,2401,24.6,25659,GA,1997,13,109,438
Fannin County,3088,16.5,26062,GA,1997,13,111,439
Fayette County,3620,4.0,69309,GA,1997,13,113,440
Floyd County,13000,15.7,33584,GA,1997,13,115,441
Forsyth County,4437,5.1,60250,GA,1997,13,117,442
Franklin County,3150,16.6,28909,GA,1997,13,119,443
Fulton County,133562,18.3,39047,GA,1997,13,121,444
Gilmer County,2737,14.5,28607,GA,1997,13,123,445
Glascock County,362,15.0,28625,GA,1997,13,125,446
Glynn County,10842,16.1,35077,GA,1997,13,127,447
Gordon County,5258,12.7,33828,GA,1997,13,129,448
Grady County,4681,21.8,25527,GA,1997,13,131,449
Greene County,2971,21.6,27011,GA,1997,13,133,450
Gwinnett County,29473,5.6,56082,GA,1997,13,135,451
Habersham County,3418,11.2,33582,GA,1997,13,137,452
Hall County,14244,11.9,38435,GA,1997,13,139,453
Hancock County,2575,28.3,23230,GA,1997,13,141,454
Haralson County,4107,16.7,30043,GA,1997,13,143,455
Harris County,2389,10.6,40645,GA,1997,13,145,456
Hart County,3456,15.9,30794,GA,1997,13,147,457
Heard County,1752,17.3,30441,GA,1997,13,149,458
Henry County,6811,6.4,49548,GA,1997,13,151,459
Houston County,12507,11.8,41188,GA,1997,13,153,460
Irwin County,1990,21.9,26957,GA,1997,13,155,461
Jackson County,5414,14.4,34033,GA,1997,13,157,462
Jasper County,1699,16.6,34164,GA,1997,13,159,463
Jeff Davis County,2445,19.1,28010,GA,1997,13,161,464
Jefferson County,4715,26.6,23243,GA,1997,13,163,465
Jenkins County,2194,26.0,22686,GA,1997,13,165,466
Johnson County,2044,24.8,24315,GA,1997,13,167,467
Jones County,2816,12.2,39176,GA,1997,13,169,468
Lamar County,2493,17.0,30332,GA,1997,13,171,469
Lanier County,1575,22.4,24428,GA,1997,13,173,470
Laurens County,8712,20.1,28950,GA,1997,13,175,471
Lee County,2439,10.8,44326,GA,1997,13,177,472
Liberty County,9942,18.8,29508,GA,1997,13,179,473
Lincoln County,1572,18.8,27034,GA,1997,13,181,474
Long County,1869,21.7,27388,GA,1997,13,183,475
Lowndes County,16818,20.5,30296,GA,1997,13,185,476
Lumpkin County,2599,14.4,35598,GA,1997,13,187,477
McDuffie County,4437,20.3,28268,GA,1997,13,189,478
McIntosh County,2251,22.2,24357,GA,1997,13,191,479
Macon County,3778,29.0,24175,GA,1997,13,193,480
Madison County,3546,14.4,33855,GA,1997,13,195,481
Marion County,1479,22.0,25355,GA,1997,13,197,482
Meriwether County,4837,21.1,27349,GA,1997,13,199,483
Miller County,1483,23.4,26289,GA,1997,13,201,484
Mitchell County,5573,26.3,24688,GA,1997,13,205,485
Monroe County,2858,14.8,34310,GA,1997,13,207,486
Montgomery County,1674,23.3,24936,GA,1997,13,209,487
Morgan County,2449,16.2,33165,GA,1997,13,211,488
Murray County,4005,12.1,33175,GA,1997,13,213,489
Muscogee County,34293,19.3,31349,GA,1997,13,215,490
Newton County,7622,13.1,37415,GA,1997,13,217,491
Oconee County,1961,8.2,47659,GA,1997,13,219,492
