NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,5020,10.4,45019,AL,2005,01,001
Baldwin County,18249,11.4,42804,AL,2005,01,003
Barbour County,5694,22.4,29534,AL,2005,01,005
Bibb County,3364,16.6,34212,AL,2005,01,007
Blount County,6248,11.4,40588,AL,2005,01,009
Bullock County,3628,38.2,21728,AL,2005,01,011
Butler County,4722,23.1,28058,AL,2005,01,013
Calhoun County,18450,16.9,35937,AL,2005,01,015
Chambers County,5646,16.2,31538,AL,2005,01,017
Cherokee County,3898,16.2,33858,AL,2005,01,019
Chilton County,6627,16.1,36098,AL,2005,01,021
Choctaw County,3567,24.4,27512,AL,2005,01,023
Clarke County,5618,20.9,29531,AL,2005,01,025
Clay County,2158,15.8,33512,AL,2005,01,027
Cleburne County,2217,15.5,34287,AL,2005,01,029
Coffee County,6747,15.1,37025,AL,2005,01,031
Colbert County,8492,15.7,35590,AL,2005,01,033
Conecuh County,3640,27.7,24587,AL,2005,01,035
Coosa County,2063,18.7,31142,AL,2005,01,037
Covington County,6685,18.4,30847,AL,2005,01,039
Crenshaw County,3177,23.5,29410,AL,2005,01,041
Cullman County,11578,14.7,36693,AL,2005,01,043
Dale County,7509,16.0,36422,AL,2005,01,045
Dallas County,15247,34.9,24936,AL,2005,01,047
DeKalb County,12847,19.4,31501,AL,2005,01,049
Elmore County,8913,13.1,45474,AL,2005,01,051
Escambia County,7729,22.2,30600,AL,2005,01,053
Etowah County,15975,15.8,32973,AL,2005,01,055
Fayette County,3185,17.9,31720,AL,2005,01,057
Franklin County,5909,19.5,29698,AL,2005,01,059
Geneva County,5142,20.3,29492,AL,2005,01,061
Greene County,3244,33.9,22436,AL,2005,01,063
Hale County,5133,30.4,27535,AL,2005,01,065
Henry County,2881,17.6,33191,AL,2005,01,067
Houston County,13792,14.9,37947,AL,2005,01,069
Jackson County,9932,18.8,32208,AL,2005,01,071
Jefferson County,100709,15.7,41821,AL,2005,01,073
Lamar County,2511,17.0,30373,AL,2005,01,075
Lauderdale County,15862,18.5,33448,AL,2005,01,077
Lawrence County,5477,16.0,37871,AL,2005,01,079
Lee County,24339,20.6,35320,AL,2005,01,081
Limestone County,8764,13.0,40745,AL,2005,01,083
Lowndes County,3838,29.5,25590,AL,2005,01,085
Macon County,6493,32.0,23500,AL,2005,01,087
Madison County,29958,10.3,50522,AL,2005,01,089
Marengo County,5456,25.2,29635,AL,2005,01,091
Marion County,5357,18.4,29800,AL,2005,01,093
Marshall County,15797,18.7,34668,AL,2005,01,095
Mobile County,78423,20.0,36143,AL,2005,01,097
Monroe County,5232,22.3,30964,AL,2005,01,099
Montgomery County,36323,17.4,39749,AL,2005,01,101
Morgan County,15593,14.0,41339,AL,2005,01,103
Perry County,3750,34.9,22109,AL,2005,01,105
Pickens County,4649,23.3,28578,AL,2005,01,107
Pike County,8194,28.6,27581,AL,2005,01,109
Randolph County,4228,19.2,32974,AL,2005,01,111
Russell County,9680,20.0,30155,AL,2005,01,113
St. Clair County,9242,13.2,45416,AL,2005,01,115
Shelby County,10653,6.3,61563,AL,2005,01,117
Sumter County,4963,36.6,21252,AL,2005,01,119
Talladega County,14835,19.3,33986,AL,2005,01,121
Tallapoosa County,7185,18.2,32672,AL,2005,01,123
Tuscaloosa County,32787,20.4,34459,AL,2005,01,125
Walker County,10714,15.6,33666,AL,2005,01,127
Washington County,3565,20.2,33001,AL,2005,01,129
Wilcox County,4819,37.8,19407,AL,2005,01,131
Winston County,5269,21.8,29320,AL,2005,01,133
Aleutians East Borough,225,16.8,47177,AK,2005,02,013
Aleutians West Census Area,273,9.2,60138,AK,2005,02,016
Anchorage Borough,24292,9.2,61018,AK,2005,02,020
Bethel Census Area,3340,20.0,45504,AK,2005,02,050
Bristol Bay Borough,101,9.1,58017,AK,2005,02,060
Denali Borough,120,6.6,58019,AK,2005,02,068
Dillingham Census Area,1100,22.7,43991,AK,2005,02,070
Fairbanks North Star Borough,7368,8.9,55408,AK,2005,02,090
Haines Borough,270,11.9,41981,AK,2005,02,100
Juneau Borough,2201,7.3,67614,AK,2005,02,110
Kenai Peninsula Borough,5657,11.2,48373,AK,2005,02,122
Ketchikan Gateway Borough,1199,9.3,53152,AK,2005,02,130
Kodiak Island Borough,1095,8.6,54933,AK,2005,02,150
Lake and Peninsula Borough,320,20.6,34806,AK,2005,02,164
Matanuska-Susitna Borough,8414,11.3,57134,AK,2005,02,170
Nome Census Area,1952,21.7,42623,AK,2005,02,180
North Slope Borough,867,12.7,62760,AK,2005,02,185
Northwest Arctic Borough,1496,20.6,48280,AK,2005,02,188
Prince of Wales-Outer Ketchikan Census Area,863,15.6,39247,AK,2005,02,201
Sitka Borough,710,8.2,54499,AK,2005,02,220
Skagway-Hoonah-Angoon Census Area,399,12.9,42591,AK,2005,02,232
Southeast Fairbanks Census Area,976,15.5,46292,AK,2005,02,240
Valdez-Cordova Census Area,1035,10.6,52864,AK,2005,02,261
Wade Hampton Census Area,2541,34.0,29213,AK,2005,02,270
Wrangell-Petersburg Census Area,613,9.9,48183,AK,2005,02,280
Yakutat Borough,90,15.2,46505,AK,2005,02,282
Yukon-Koyukuk Census Area,1578,26.1,30907,AK,2005,02,290
Apache County,28285,41.7,26308,AZ,2005,04,001
Cochise County,20205,16.9,36296,AZ,2005,04,003
Coconino County,21717,18.0,41446,AZ,2005,04,005
Gila County,10025,19.9,33862,AZ,2005,04,007
Graham County,7036,23.7,33558,AZ,2005,04,009
Greenlee County,958,12.8,43338,AZ,2005,04,011
La Paz County,4298,21.6,29015,AZ,2005,04,012
Maricopa County,450439,12.6,48752,AZ,2005,04,013
Mohave County,28781,15.6,35320,AZ,2005,04,015
Navajo County,30443,28.8,31532,AZ,2005,04,017
Pima County,134104,14.9,41484,AZ,2005,04,019
Pinal County,33568,15.7,41177,AZ,2005,04,021
Santa Cruz County,8485,20.4,33491,AZ,2005,04,023
Yavapai County,24888,12.8,40382,AZ,2005,04,025
Yuma County,33509,19.1,35739,AZ,2005,04,027
Arkansas County,3448,17.6,34821,AR,2005,05,001
Ashley County,4791,21.0,32800,AR,2005,05,003
Baxter County,5643,14.3,31278,AR,2005,05,005
Benton County,16681,9.1,48162,AR,2005,05,007
Boone County,5572,15.9,33563,AR,2005,05,009
Bradley County,2935,25.8,27543,AR,2005,05,011
Calhoun County,979,18.0,31783,AR,2005,05,013
Carroll County,4313,16.2,30789,AR,2005,05,015
Chicot County,4436,36.2,23546,AR,2005,05,017
Clark County,4384,21.1,31437,AR,2005,05,019
Clay County,3250,19.9,28039,AR,2005,05,021
Cleburne County,3668,14.7,34240,AR,2005,05,023
Cleveland County,1362,15.5,36535,AR,2005,05,025
Columbia County,5012,21.4,30337,AR,2005,05,027
Conway County,3736,18.4,33890,AR,2005,05,029
Craighead County,14488,17.3,34109,AR,2005,05,031
Crawford County,9861,17.3,35191,AR,2005,05,033
Crittenden County,13392,26.3,31414,AR,2005,05,035
Cross County,3682,19.5,31737,AR,2005,05,037
Dallas County,1721,21.5,28631,AR,2005,05,039
Desha County,4419,31.2,25681,AR,2005,05,041
Drew County,3624,20.3,31165,AR,2005,05,043
Faulkner County,12054,13.2,42738,AR,2005,05,045
Franklin County,2943,16.7,32978,AR,2005,05,047
Fulton County,2071,17.6,28449,AR,2005,05,049
Garland County,15163,16.6,32722,AR,2005,05,051
Grant County,1925,11.3,41215,AR,2005,05,053
Greene County,7052,18.2,34549,AR,2005,05,055
Hempstead County,4927,21.5,30391,AR,2005,05,057
Hot Spring County,5165,16.9,34210,AR,2005,05,059
Howard County,2484,17.6,30281,AR,2005,05,061
Independence County,5558,16.5,32671,AR,2005,05,063
Izard County,2328,18.5,27339,AR,2005,05,065
Jackson County,3916,25.4,27454,AR,2005,05,067
Jefferson County,16079,21.2,32105,AR,2005,05,069
Johnson County,4336,18.7,30545,AR,2005,05,071
Lafayette County,2025,25.7,26321,AR,2005,05,073
Lawrence County,3676,22.3,29534,AR,2005,05,075
Lee County,3851,39.4,22454,AR,2005,05,077
Lincoln County,2790,26.6,32186,AR,2005,05,079
Little River County,2206,17.0,33333,AR,2005,05,081
Logan County,4440,19.9,31588,AR,2005,05,083
Lonoke County,6884,11.5,45012,AR,2005,05,085
Madison County,2556,17.3,33660,AR,2005,05,087
Marion County,3309,20.1,28531,AR,2005,05,089
Miller County,8530,20.4,32408,AR,2005,05,091
Mississippi County,11230,24.0,29822,AR,2005,05,093
Monroe County,2510,27.5,27334,AR,2005,05,095
Montgomery County,1691,18.5,31822,AR,2005,05,097
Nevada County,2203,23.9,28594,AR,2005,05,099
Newton County,1927,23.0,27290,AR,2005,05,101
Ouachita County,5248,19.7,31401,AR,2005,05,103
Perry County,1586,15.5,38604,AR,2005,05,105
Phillips County,7984,33.7,24141,AR,2005,05,107
Pike County,1882,17.4,31701,AR,2005,05,109
Poinsett County,5983,24.1,29121,AR,2005,05,111
Polk County,4030,20.3,28333,AR,2005,05,113
Pope County,8932,16.6,33089,AR,2005,05,115
Prairie County,1660,18.6,32712,AR,2005,05,117
Pulaski County,51656,14.5,40629,AR,2005,05,119
Randolph County,3213,17.8,30439,AR,2005,05,121
St. Francis County,7531,30.0,27732,AR,2005,05,123
Saline County,8253,9.3,48487,AR,2005,05,125
Scott County,2401,21.9,27641,AR,2005,05,127
Searcy County,1722,21.8,23734,AR,2005,05,129
Sebastian County,18558,16.0,35765,AR,2005,05,131
Sevier County,3178,19.6,33200,AR,2005,05,133
Sharp County,3698,21.6,25875,AR,2005,05,135
Stone County,2624,22.7,25105,AR,2005,05,137
Union County,8078,18.8,33146,AR,2005,05,139
Van Buren County,2910,18.0,28004,AR,2005,05,141
Washington County,26212,15.2,39788,AR,2005,05,143
White County,11224,16.6,36407,AR,2005,05,145
Woodruff County,2377,30.0,26789,AR,2005,05,147
Yell County,3593,17.2,31580,AR,2005,05,149
Alameda County,166481,11.8,60937,CA,2005,06,001
Alpine County,191,16.6,45283,CA,2005,06,003
Amador County,3377,10.0,52078,CA,2005,06,005
Butte County,39786,19.2,36303,CA,2005,06,007
Calaveras County,4846,10.5,47639,CA,2005,06,009
Colusa County,2928,14.2,39186,CA,2005,06,011
Contra Costa County,81009,8.1,69463,CA,2005,06,013
Del Norte County,5547,22.5,32724,CA,2005,06,015
El Dorado County,12888,7.4,62199,CA,2005,06,017
Fresno County,177490,20.8,41390,CA,2005,06,019
Glenn County,4763,17.5,35707,CA,2005,06,021
Humboldt County,20367,16.5,33923,CA,2005,06,023
Imperial County,30650,21.3,35085,CA,2005,06,025
Inyo County,2089,11.6,39911,CA,2005,06,027
Kern County,149772,20.8,40146,CA,2005,06,029
