NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,7587,13.8,59338,AL,2018,01,001
Baldwin County,21069,9.8,57588,AL,2018,01,003
Barbour County,6788,30.9,34382,AL,2018,01,005
Bibb County,4400,21.8,46064,AL,2018,01,007
Blount County,7527,13.2,50412,AL,2018,01,009
Bullock County,3610,42.5,29267,AL,2018,01,011
Butler County,4731,24.5,37365,AL,2018,01,013
Calhoun County,21719,19.5,45400,AL,2018,01,015
Chambers County,6181,18.7,39917,AL,2018,01,017
Cherokee County,4180,16.3,42132,AL,2018,01,019
Chilton County,7542,17.3,47547,AL,2018,01,021
Choctaw County,2806,22.1,39907,AL,2018,01,023
Clarke County,5381,22.8,40741,AL,2018,01,025
Clay County,2285,17.6,39201,AL,2018,01,027
Cleburne County,2356,16.0,46495,AL,2018,01,029
Coffee County,7053,13.8,55122,AL,2018,01,031
Colbert County,7459,13.8,49055,AL,2018,01,033
Conecuh County,2979,24.4,32613,AL,2018,01,035
Coosa County,1973,18.9,42423,AL,2018,01,037
Covington County,7239,19.9,40203,AL,2018,01,039
Crenshaw County,2661,19.5,39057,AL,2018,01,041
Cullman County,11925,14.5,45796,AL,2018,01,043
Dale County,7743,16.2,45309,AL,2018,01,045
Dallas County,11841,31.4,34035,AL,2018,01,047
DeKalb County,14975,21.3,39491,AL,2018,01,049
Elmore County,8559,11.2,60367,AL,2018,01,051
Escambia County,8022,23.6,38418,AL,2018,01,053
Etowah County,17509,17.5,44903,AL,2018,01,055
Fayette County,3801,23.5,39254,AL,2018,01,057
Franklin County,5939,19.2,39388,AL,2018,01,059
Geneva County,5537,21.3,37823,AL,2018,01,061
Greene County,2459,30.1,28524,AL,2018,01,063
Hale County,3705,25.6,34724,AL,2018,01,065
Henry County,3037,17.9,46027,AL,2018,01,067
Houston County,17032,16.5,47993,AL,2018,01,069
Jackson County,10046,19.7,41929,AL,2018,01,071
Jefferson County,103604,16.1,55013,AL,2018,01,073
Lamar County,2374,17.4,40936,AL,2018,01,075
Lauderdale County,12645,14.0,48707,AL,2018,01,077
Lawrence County,6297,19.3,43909,AL,2018,01,079
Lee County,30075,19.0,48937,AL,2018,01,081
Limestone County,10633,11.4,64863,AL,2018,01,083
Lowndes County,2474,25.1,33973,AL,2018,01,085
Macon County,5031,30.2,32495,AL,2018,01,087
Madison County,42667,11.9,63755,AL,2018,01,089
Marengo County,4499,24.0,37733,AL,2018,01,091
Marion County,5844,20.2,37887,AL,2018,01,093
Marshall County,17341,18.3,46233,AL,2018,01,095
Mobile County,84539,20.8,43598,AL,2018,01,097
Monroe County,4560,21.9,39556,AL,2018,01,099
Montgomery County,43567,20.1,49640,AL,2018,01,101
Morgan County,15419,13.2,52797,AL,2018,01,103
Perry County,2943,35.3,26814,AL,2018,01,105
Pickens County,4177,23.1,37586,AL,2018,01,107
Pike County,7315,23.6,37259,AL,2018,01,109
Randolph County,4375,19.7,40546,AL,2018,01,111
Russell County,12384,21.7,39104,AL,2018,01,113
St. Clair County,10432,12.0,57284,AL,2018,01,115
Shelby County,16916,8.0,75663,AL,2018,01,117
Sumter County,4076,34.7,27859,AL,2018,01,119
Talladega County,14825,19.3,41630,AL,2018,01,121
Tallapoosa County,7839,19.7,42205,AL,2018,01,123
Tuscaloosa County,33330,16.8,52557,AL,2018,01,125
Walker County,11231,17.9,45434,AL,2018,01,127
Washington County,2846,17.6,44424,AL,2018,01,129
Wilcox County,3504,33.4,25385,AL,2018,01,131
Winston County,4338,18.6,41156,AL,2018,01,133
Aleutians East Borough,544,15.5,70081,AK,2018,02,013
Aleutians West Census Area,550,10.0,82633,AK,2018,02,016
Anchorage Borough,27075,9.5,82113,AK,2018,02,020
Bethel Census Area,5869,32.7,44304,AK,2018,02,050
Bristol Bay Borough,96,11.2,77257,AK,2018,02,060
Denali Borough,135,6.9,75477,AK,2018,02,068
Dillingham Census Area,1091,22.0,54524,AK,2018,02,070
Fairbanks North Star Borough,8104,8.6,74268,AK,2018,02,090
Haines Borough,259,10.5,58943,AK,2018,02,100
Hoonah-Angoon Census Area,370,17.2,51188,AK,2018,02,105
Juneau Borough,2299,7.3,79173,AK,2018,02,110
Kenai Peninsula Borough,7103,12.4,65439,AK,2018,02,122
Ketchikan Gateway Borough,1244,9.1,68309,AK,2018,02,130
Kodiak Island Borough,1073,8.2,74109,AK,2018,02,150
Kusilvak Census Area,2905,35.1,32728,AK,2018,02,158
Lake and Peninsula Borough,288,18.2,49403,AK,2018,02,164
Matanuska-Susitna Borough,10937,10.4,74649,AK,2018,02,170
Nome Census Area,2168,22.0,55318,AK,2018,02,180
North Slope Borough,1094,11.1,89276,AK,2018,02,185
Northwest Arctic Borough,1604,21.1,59337,AK,2018,02,188
Petersburg Borough,232,7.2,66075,AK,2018,02,195
Prince of Wales-Hyder Census Area,1057,16.5,49356,AK,2018,02,198
Sitka Borough,656,7.7,71825,AK,2018,02,220
Skagway Municipality,49,4.3,74635,AK,2018,02,230
Southeast Fairbanks Census Area,918,13.4,63527,AK,2018,02,240
Valdez-Cordova Census Area,880,9.7,68528,AK,2018,02,261
Wrangell City and Borough,287,11.6,57832,AK,2018,02,275
Yakutat Borough,79,13.1,59523,AK,2018,02,282
