NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,5366,10.7,51622,AL,2008,01,001
Baldwin County,17110,9.9,51957,AL,2008,01,003
Barbour County,6399,24.5,30896,AL,2008,01,005
Bibb County,3753,18.5,41076,AL,2008,01,007
Blount County,7461,13.1,46086,AL,2008,01,009
Bullock County,3074,33.6,26980,AL,2008,01,011
Butler County,4415,22.3,31449,AL,2008,01,013
Calhoun County,19441,17.6,39997,AL,2008,01,015
Chambers County,6320,18.7,35614,AL,2008,01,017
Cherokee County,4264,17.7,38028,AL,2008,01,019
Chilton County,7162,17.1,40292,AL,2008,01,021
Choctaw County,3177,22.9,30728,AL,2008,01,023
Clarke County,5334,20.6,34101,AL,2008,01,025
Clay County,2288,16.9,33032,AL,2008,01,027
Cleburne County,2167,14.8,37742,AL,2008,01,029
Coffee County,7139,15.2,43145,AL,2008,01,031
Colbert County,6861,12.7,39947,AL,2008,01,033
Conecuh County,3223,24.9,27068,AL,2008,01,035
Coosa County,1677,15.7,36050,AL,2008,01,037
Covington County,6852,18.9,33773,AL,2008,01,039
Crenshaw County,2569,18.9,34402,AL,2008,01,041
Cullman County,11909,14.8,39276,AL,2008,01,043
Dale County,6966,15.0,42867,AL,2008,01,045
Dallas County,12678,29.9,27992,AL,2008,01,047
DeKalb County,12690,18.7,35377,AL,2008,01,049
Elmore County,8171,11.4,53296,AL,2008,01,051
Escambia County,8490,24.1,32009,AL,2008,01,053
Etowah County,16923,16.7,37264,AL,2008,01,055
Fayette County,3430,19.8,34092,AL,2008,01,057
Franklin County,5918,19.5,35248,AL,2008,01,059
Geneva County,4544,17.8,32027,AL,2008,01,061
Greene County,2751,30.3,26001,AL,2008,01,063
Hale County,4417,26.0,31091,AL,2008,01,065
Henry County,3056,18.6,36453,AL,2008,01,067
Houston County,14641,15.1,42523,AL,2008,01,069
Jackson County,8895,16.9,36597,AL,2008,01,071
Jefferson County,88637,13.8,46269,AL,2008,01,073
Lamar County,2564,18.2,32424,AL,2008,01,075
Lauderdale County,14789,17.0,38592,AL,2008,01,077
Lawrence County,5068,15.0,40655,AL,2008,01,079
Lee County,19990,15.5,41770,AL,2008,01,081
Limestone County,8878,12.1,46151,AL,2008,01,083
Lowndes County,3204,25.4,30225,AL,2008,01,085
Macon County,6063,30.5,27314,AL,2008,01,087
Madison County,35200,11.3,55324,AL,2008,01,089
Marengo County,4712,22.6,32381,AL,2008,01,091
Marion County,5581,19.6,31602,AL,2008,01,093
Marshall County,15736,18.0,36981,AL,2008,01,095
Mobile County,74067,18.6,40951,AL,2008,01,097
Monroe County,4855,21.8,34072,AL,2008,01,099
Montgomery County,37511,17.6,43297,AL,2008,01,101
Morgan County,14284,12.5,46284,AL,2008,01,103
Perry County,3165,31.7,26513,AL,2008,01,105
Pickens County,4932,25.6,31053,AL,2008,01,107
Pike County,6489,22.5,32284,AL,2008,01,109
Randolph County,3807,17.3,34185,AL,2008,01,111
Russell County,11599,23.3,28855,AL,2008,01,113
St. Clair County,9745,12.6,48804,AL,2008,01,115
Shelby County,10728,5.8,71785,AL,2008,01,117
Sumter County,4249,32.9,24221,AL,2008,01,119
Talladega County,14305,18.7,35487,AL,2008,01,121
Tallapoosa County,7706,19.5,35293,AL,2008,01,123
Tuscaloosa County,29379,17.3,43744,AL,2008,01,125
Walker County,11839,17.4,36221,AL,2008,01,127
Washington County,3113,18.2,37076,AL,2008,01,129
Wilcox County,3815,30.2,23090,AL,2008,01,131
Winston County,4337,18.3,32018,AL,2008,01,133
Aleutians East Borough,429,15.3,52786,AK,2008,02,013
Aleutians West Census Area,404,9.0,62849,AK,2008,02,016
Anchorage Borough,19638,7.2,74396,AK,2008,02,020
Bethel Census Area,3630,21.5,41755,AK,2008,02,050
Bristol Bay Borough,74,7.8,67214,AK,2008,02,060
Denali Borough,100,5.4,70720,AK,2008,02,068
Dillingham Census Area,960,19.6,50827,AK,2008,02,070
Fairbanks North Star Borough,7004,7.5,65473,AK,2008,02,090
Haines Borough,235,10.4,48299,AK,2008,02,100
Hoonah-Angoon Census Area,344,15.9,44050,AK,2008,02,105
Juneau Borough,2047,6.7,71313,AK,2008,02,110
Kenai Peninsula Borough,5380,10.3,54206,AK,2008,02,122
Ketchikan Gateway Borough,1129,8.7,58689,AK,2008,02,130
Kodiak Island Borough,1034,8.0,61525,AK,2008,02,150
Lake and Peninsula Borough,254,17.2,43687,AK,2008,02,164
Matanuska-Susitna Borough,7808,9.3,71575,AK,2008,02,170
Nome Census Area,1898,20.9,46892,AK,2008,02,180
North Slope Borough,743,11.4,72499,AK,2008,02,185
Northwest Arctic Borough,1225,16.5,57721,AK,2008,02,188
Prince of Wales-Outer Ketchikan Census Area,839,15.2,44491,AK,2008,02,201
Sitka Borough,677,7.8,61436,AK,2008,02,220
Skagway Municipality,31,3.5,61029,AK,2008,02,230
Southeast Fairbanks Census Area,887,13.3,59124,AK,2008,02,240
Valdez-Cordova Census Area,790,8.5,58946,AK,2008,02,261
Wade Hampton Census Area,2244,29.2,33033,AK,2008,02,270
Wrangell-Petersburg Census Area,573,9.8,54274,AK,2008,02,280
Yakutat Borough,86,13.3,54401,AK,2008,02,282
Yukon-Koyukuk Census Area,1410,24.9,33900,AK,2008,02,290
Apache County,22913,33.2,31728,AZ,2008,04,001
Cochise County,19628,16.0,44000,AZ,2008,04,003
Coconino County,20099,16.0,47933,AZ,2008,04,005
Gila County,8224,16.1,38405,AZ,2008,04,007
Graham County,7084,21.4,40902,AZ,2008,04,009
Greenlee County,898,11.3,53654,AZ,2008,04,011
La Paz County,5162,26.1,32973,AZ,2008,04,012
Maricopa County,521208,13.4,56511,AZ,2008,04,013
Mohave County,32438,16.8,38641,AZ,2008,04,015
Navajo County,25447,23.1,39416,AZ,2008,04,017
Pima County,153040,15.4,46653,AZ,2008,04,019
Pinal County,43350,14.0,50208,AZ,2008,04,021
Santa Cruz County,7905,18.5,38490,AZ,2008,04,023
Yavapai County,27395,12.9,42311,AZ,2008,04,025
Yuma County,40456,21.5,39063,AZ,2008,04,027
Arkansas County,3791,20.1,37295,AR,2008,05,001
Ashley County,4022,18.3,36079,AR,2008,05,003
Baxter County,6975,16.8,34666,AR,2008,05,005
Benton County,22933,11.1,51397,AR,2008,05,007
Boone County,5440,15.0,35729,AR,2008,05,009
Bradley County,2778,24.1,30621,AR,2008,05,011
Calhoun County,877,16.5,34908,AR,2008,05,013
Carroll County,4256,15.6,33594,AR,2008,05,015
Chicot County,3417,30.4,24809,AR,2008,05,017
Clark County,4691,21.8,34327,AR,2008,05,019
Clay County,2834,18.1,31910,AR,2008,05,021
Cleburne County,3815,15.2,36707,AR,2008,05,023
Cleveland County,1684,19.5,39567,AR,2008,05,025
Columbia County,4737,20.7,35162,AR,2008,05,027
Conway County,3494,17.1,36026,AR,2008,05,029
Craighead County,15804,17.5,39989,AR,2008,05,031
Crawford County,9228,15.6,42112,AR,2008,05,033
Crittenden County,10616,20.5,35112,AR,2008,05,035
Cross County,3452,18.7,34489,AR,2008,05,037
Dallas County,1624,21.0,31608,AR,2008,05,039
Desha County,3884,29.0,27555,AR,2008,05,041
Drew County,3674,20.4,34919,AR,2008,05,043
Faulkner County,16448,16.2,43553,AR,2008,05,045
Franklin County,3042,17.0,38192,AR,2008,05,047
Fulton County,2159,18.7,30364,AR,2008,05,049
Garland County,15406,16.1,38020,AR,2008,05,051
Grant County,2007,11.5,45165,AR,2008,05,053
Greene County,6652,16.6,37017,AR,2008,05,055
Hempstead County,4641,20.6,34221,AR,2008,05,057
Hot Spring County,4793,15.7,37619,AR,2008,05,059
Howard County,2933,21.3,33219,AR,2008,05,061
Independence County,5096,15.1,36019,AR,2008,05,063
Izard County,2403,19.7,30941,AR,2008,05,065
Jackson County,3697,24.9,30490,AR,2008,05,067
Jefferson County,14984,20.6,38018,AR,2008,05,069
Johnson County,4212,17.4,34307,AR,2008,05,071
