NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,6459,11.9,53049,AL,2010,01,001
Baldwin County,24056,13.3,47618,AL,2010,01,003
Barbour County,6098,25.3,33074,AL,2010,01,005
Bibb County,4316,20.9,35472,AL,2010,01,007
Blount County,9358,16.5,42906,AL,2010,01,009
Bullock County,2866,31.1,25969,AL,2010,01,011
Butler County,5791,28.1,29500,AL,2010,01,013
Calhoun County,27152,23.5,37916,AL,2010,01,015
Chambers County,9618,28.5,30061,AL,2010,01,017
Cherokee County,5434,21.2,34410,AL,2010,01,019
Chilton County,8813,20.4,38553,AL,2010,01,021
Choctaw County,2826,20.7,32003,AL,2010,01,023
Clarke County,6332,24.9,33739,AL,2010,01,025
Clay County,2802,20.6,33035,AL,2010,01,027
Cleburne County,2621,17.8,37566,AL,2010,01,029
Coffee County,9939,20.1,40779,AL,2010,01,031
Colbert County,10329,19.2,37455,AL,2010,01,033
Conecuh County,3378,25.7,27855,AL,2010,01,035
Coosa County,2125,18.6,33721,AL,2010,01,037
Covington County,7769,20.9,33484,AL,2010,01,039
Crenshaw County,2783,20.3,35577,AL,2010,01,041
Cullman County,15242,19.2,37948,AL,2010,01,043
Dale County,8795,17.8,41287,AL,2010,01,045
Dallas County,15391,35.6,26195,AL,2010,01,047
DeKalb County,14586,20.8,34822,AL,2010,01,049
Elmore County,9276,12.5,51013,AL,2010,01,051
Escambia County,9135,26.1,31365,AL,2010,01,053
Etowah County,19457,19.0,36088,AL,2010,01,055
Fayette County,4635,27.3,32643,AL,2010,01,057
Franklin County,6787,21.6,33649,AL,2010,01,059
Geneva County,5380,20.3,34418,AL,2010,01,061
Greene County,2771,31.0,27117,AL,2010,01,063
Hale County,3806,24.8,31790,AL,2010,01,065
Henry County,3091,18.1,37851,AL,2010,01,067
Houston County,18014,17.9,39290,AL,2010,01,069
Jackson County,10429,19.9,36158,AL,2010,01,071
Jefferson County,119809,18.6,41740,AL,2010,01,073
Lamar County,3068,21.5,32993,AL,2010,01,075
Lauderdale County,15992,17.6,39213,AL,2010,01,077
Lawrence County,6166,18.1,37365,AL,2010,01,079
Lee County,28964,21.3,40102,AL,2010,01,081
Limestone County,11284,14.1,49667,AL,2010,01,083
Lowndes County,3419,30.7,28754,AL,2010,01,085
Macon County,6160,31.2,27041,AL,2010,01,087
Madison County,41676,12.7,54633,AL,2010,01,089
Marengo County,4883,23.6,33085,AL,2010,01,091
Marion County,6240,20.9,32080,AL,2010,01,093
Marshall County,17797,19.4,38859,AL,2010,01,095
Mobile County,83457,20.5,39753,AL,2010,01,097
Monroe County,6443,28.4,31744,AL,2010,01,099
Montgomery County,46972,21.3,41556,AL,2010,01,101
Morgan County,16562,14.1,44859,AL,2010,01,103
Perry County,3874,39.5,24742,AL,2010,01,105
Pickens County,4723,24.4,31032,AL,2010,01,107
Pike County,9304,30.0,32771,AL,2010,01,109
Randolph County,5559,24.8,32584,AL,2010,01,111
Russell County,12654,24.1,32733,AL,2010,01,113
St. Clair County,10578,13.0,48296,AL,2010,01,115
Shelby County,18948,9.8,67135,AL,2010,01,117
Sumter County,4080,31.3,25586,AL,2010,01,119
Talladega County,17912,22.7,35646,AL,2010,01,121
Tallapoosa County,7502,18.3,34440,AL,2010,01,123
Tuscaloosa County,33258,18.0,43098,AL,2010,01,125
Walker County,15288,23.2,36044,AL,2010,01,127
Washington County,3406,19.6,37639,AL,2010,01,129
Wilcox County,4547,39.6,21611,AL,2010,01,131
Winston County,4894,20.3,32574,AL,2010,01,133
Aleutians East Borough,527,16.8,47077,AK,2010,02,013
Aleutians West Census Area,482,9.0,58517,AK,2010,02,016
Anchorage Borough,27351,9.6,70524,AK,2010,02,020
Bethel Census Area,3794,22.6,45481,AK,2010,02,050
Bristol Bay Borough,86,8.8,62912,AK,2010,02,060
Denali Borough,102,5.6,61004,AK,2010,02,068
Dillingham Census Area,995,20.6,46845,AK,2010,02,070
Fairbanks North Star Borough,8804,9.4,60472,AK,2010,02,090
Haines Borough,304,12.1,46111,AK,2010,02,100
Hoonah-Angoon Census Area,416,19.4,38122,AK,2010,02,105
Juneau Borough,2524,8.2,69844,AK,2010,02,110
Kenai Peninsula Borough,5798,10.7,57347,AK,2010,02,122
Ketchikan Gateway Borough,1335,10.0,58073,AK,2010,02,130
Kodiak Island Borough,1116,8.3,59847,AK,2010,02,150
Lake and Peninsula Borough,287,17.7,39794,AK,2010,02,164
Matanuska-Susitna Borough,9618,10.9,68670,AK,2010,02,170
Nome Census Area,2295,24.6,43147,AK,2010,02,180
North Slope Borough,1074,11.4,68744,AK,2010,02,185
Northwest Arctic Borough,1494,20.0,49466,AK,2010,02,188
Petersburg Census Area,406,10.6,52294,AK,2010,02,195
Prince of Wales-Hyder Census Area,957,17.2,40756,AK,2010,02,198
Sitka Borough,800,9.1,58000,AK,2010,02,220
Skagway Municipality,40,4.2,58550,AK,2010,02,230
